% Moku:Go Oscilloscope
% Channel A (Input 1), AC coupling, 1 x probe attenuation
% Channel B (Input 2), AC coupling, 1 x probe attenuation
% Time span 108.0 ms, time offset -29.93 us, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 999.0 mV, Auto mode, Both edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2023-09-28 T 12:16:40 -0400
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-5.398560000000e-02, 4.885198e-03, -3.053249e-02
-5.387961600000e-02, 4.885198e-03, -2.808989e-02
-5.377363200000e-02, 4.885198e-03, -2.564729e-02
-5.366764800000e-02, 4.885198e-03, -2.320469e-02
-5.356166400000e-02, 3.297509e-02, -1.221300e-03
-5.345568000000e-02, 8.549097e-03, -2.076209e-02
-5.334969600000e-02, 1.343429e-02, -1.465559e-02
-5.324371200000e-02, 3.663899e-03, -1.465559e-02
-5.313772800000e-02, 4.885198e-03, -1.465559e-02
-5.303174400000e-02, 4.885198e-03, -1.343429e-02
-5.292576000000e-02, 3.663899e-03, -9.770396e-03
-5.281977600000e-02, 6.106498e-03, -8.549097e-03
-5.271379200000e-02, 1.099170e-02, -1.221300e-03
-5.260780800000e-02, 1.831949e-02, -3.663899e-03
-5.250182400000e-02, 1.343429e-02, -1.221300e-03
-5.239584000000e-02, 3.663899e-03, 0.000000e+00
-5.228985600000e-02, 4.885198e-03, 0.000000e+00
-5.218387200000e-02, 6.106498e-03, 2.442599e-03
-5.207788800000e-02, 3.663899e-03, 2.442599e-03
-5.197190400000e-02, 3.663899e-03, 4.885198e-03
-5.186592000000e-02, 3.663899e-03, 6.106498e-03
-5.175993600000e-02, 3.663899e-03, 8.549097e-03
-5.165395200000e-02, 4.885198e-03, 1.099170e-02
-5.154796800000e-02, 4.885198e-03, 1.221300e-02
-5.144198400000e-02, 3.663899e-03, 1.343429e-02
-5.133600000000e-02, 4.885198e-03, 1.465559e-02
-5.123001600000e-02, 3.663899e-03, 1.587689e-02
-5.112403200000e-02, 3.663899e-03, 1.709819e-02
-5.101804800000e-02, 4.885198e-03, 1.954079e-02
-5.091206400000e-02, 3.663899e-03, 2.076209e-02
-5.080608000000e-02, 2.808989e-02, 4.396678e-02
-5.070009600000e-02, 0.000000e+00, 1.343429e-02
-5.059411200000e-02, 6.106498e-03, 2.808989e-02
-5.048812800000e-02, 3.663899e-03, 2.564729e-02
-5.038214400000e-02, 4.885198e-03, 2.808989e-02
