% Moku:Go Oscilloscope
% Channel A (Input 1), AC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 985.6 us, time offset -29.93 us, Normal acquisition mode, 3 averages
% Edge trigger: Channel B, level 999.0 mV, Normal mode, Both edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2023-09-28 T 12:10:02 -0400
% Time (s), Channel B (Input 2) (V)
-4.629120000000e-04, -1.673180e-01
-4.618880000000e-04, -1.624328e-01
-4.608640000000e-04, -1.587689e-01
-4.598400000000e-04, -1.551050e-01
-4.588160000000e-04, -1.514411e-01
-4.577920000000e-04, -1.453346e-01
-4.567680000000e-04, -1.392281e-01
-4.557440000000e-04, -1.343429e-01
-4.547200000000e-04, -1.270152e-01
-4.536960000000e-04, -1.184661e-01
-4.526720000000e-04, -1.123596e-01
-4.516480000000e-04, -1.038105e-01
-4.506240000000e-04, -9.526136e-02
-4.496000000000e-04, -8.549097e-02
-4.485760000000e-04, -7.572057e-02
-4.475520000000e-04, -6.717147e-02
-4.465280000000e-04, -5.740108e-02
-4.455040000000e-04, -4.640938e-02
-4.444800000000e-04, -3.786029e-02
-4.434560000000e-04, -2.686859e-02
-4.424320000000e-04, -1.587689e-02
-4.414080000000e-04, -3.663899e-03
-4.403840000000e-04, 6.106498e-03
-4.393600000000e-04, 1.709819e-02
-4.383360000000e-04, 2.808989e-02
-4.373120000000e-04, 4.030288e-02
-4.362880000000e-04, 5.007328e-02
-4.352640000000e-04, 6.106498e-02
-4.342400000000e-04, 7.205667e-02
-4.332160000000e-04, 7.938447e-02
-4.321920000000e-04, 9.037616e-02
-4.311680000000e-04, 9.892526e-02
-4.301440000000e-04, 1.086957e-01
-4.291200000000e-04, 1.160235e-01
-4.280960000000e-04, 1.257939e-01
-4.270720000000e-04, 1.306790e-01
-4.260480000000e-04, 1.380068e-01
-4.250240000000e-04, 1.465559e-01
-4.240000000000e-04, 1.538837e-01
-4.229760000000e-04, 1.587689e-01
-4.219520000000e-04, 1.636541e-01
-4.209280000000e-04, 1.685393e-01
-4.199040000000e-04, 1.746458e-01
-4.188800000000e-04, 1.770884e-01
-4.178560000000e-04, 1.807523e-01
-4.168320000000e-04, 1.819736e-01
-4.158080000000e-04, 1.819736e-01
-4.147840000000e-04, 1.807523e-01
-4.137600000000e-04, 1.770884e-01
-4.127360000000e-04, 1.758671e-01
-4.117120000000e-04, 1.709819e-01
-4.106880000000e-04, 1.648754e-01
-4.096640000000e-04, 1.599902e-01
-4.086400000000e-04, 1.514411e-01
-4.076160000000e-04, 1.477772e-01
-4.065920000000e-04, 1.392281e-01
-4.055680000000e-04, 1.319003e-01
-4.045440000000e-04, 1.233513e-01
-4.035200000000e-04, 1.135809e-01
-4.024960000000e-04, 1.062531e-01
-4.014720000000e-04, 9.526136e-02
-4.004480000000e-04, 8.549097e-02
-3.994240000000e-04, 7.694187e-02
-3.984000000000e-04, 6.717147e-02
-3.973760000000e-04, 5.617978e-02
-3.963520000000e-04, 4.518808e-02
-3.953280000000e-04, 3.297509e-02
-3.943040000000e-04, 2.076209e-02
-3.932800000000e-04, 9.770396e-03
-3.922560000000e-04, -2.442599e-03
-3.912320000000e-04, -1.343429e-02
-3.902080000000e-04, -2.442599e-02
-3.891840000000e-04, -3.541769e-02
-3.881600000000e-04, -4.640938e-02
-3.871360000000e-04, -5.740108e-02
-3.861120000000e-04, -6.717147e-02
-3.850880000000e-04, -7.694187e-02
-3.840640000000e-04, -8.793357e-02
-3.830400000000e-04, -9.648266e-02
-3.820160000000e-04, -1.050318e-01
-3.809920000000e-04, -1.135809e-01
-3.799680000000e-04, -1.221300e-01
-3.789440000000e-04, -1.294577e-01
-3.779200000000e-04, -1.380068e-01
-3.768960000000e-04, -1.404494e-01
-3.758720000000e-04, -1.477772e-01
-3.748480000000e-04, -1.526624e-01
-3.738240000000e-04, -1.599902e-01
-3.728000000000e-04, -1.624328e-01
-3.717760000000e-04, -1.648754e-01
-3.707520000000e-04, -1.660967e-01
-3.697280000000e-04, -1.685393e-01
-3.687040000000e-04, -1.709819e-01
-3.676800000000e-04, -1.734245e-01
-3.666560000000e-04, -1.709819e-01
-3.656320000000e-04, -1.685393e-01
-3.646080000000e-04, -1.673180e-01
-3.635840000000e-04, -1.673180e-01
-3.625600000000e-04, -1.636541e-01
-3.615360000000e-04, -1.612115e-01
-3.605120000000e-04, -1.575476e-01
-3.594880000000e-04, -1.502198e-01
-3.584640000000e-04, -1.453346e-01
-3.574400000000e-04, -1.404494e-01
-3.564160000000e-04, -1.331216e-01
-3.553920000000e-04, -1.270152e-01
-3.543680000000e-04, -1.184661e-01
-3.533440000000e-04, -1.111383e-01
-3.523200000000e-04, -1.038105e-01
-3.512960000000e-04, -9.526136e-02
-3.502720000000e-04, -8.793357e-02
-3.492480000000e-04, -7.816317e-02
-3.482240000000e-04, -6.717147e-02
-3.472000000000e-04, -5.740108e-02
-3.461760000000e-04, -4.763068e-02
-3.451520000000e-04, -3.663899e-02
-3.441280000000e-04, -2.442599e-02
-3.431040000000e-04, -1.587689e-02
-3.420800000000e-04, -4.885198e-03
-3.410560000000e-04, 6.106498e-03
-3.400320000000e-04, 1.709819e-02
-3.390080000000e-04, 2.931119e-02
-3.379840000000e-04, 4.030288e-02
-3.369600000000e-04, 5.251588e-02
-3.359360000000e-04, 6.228628e-02
-3.349120000000e-04, 7.327797e-02
-3.338880000000e-04, 8.304837e-02
-3.328640000000e-04, 9.037616e-02
-3.318400000000e-04, 1.001466e-01
-3.308160000000e-04, 1.086957e-01
-3.297920000000e-04, 1.160235e-01
-3.287680000000e-04, 1.245726e-01
-3.277440000000e-04, 1.331216e-01
-3.267200000000e-04, 1.404494e-01
-3.256960000000e-04, 1.465559e-01
-3.246720000000e-04, 1.538837e-01
-3.236480000000e-04, 1.599902e-01
-3.226240000000e-04, 1.636541e-01
-3.216000000000e-04, 1.685393e-01
-3.205760000000e-04, 1.734245e-01
-3.195520000000e-04, 1.770884e-01
-3.185280000000e-04, 1.807523e-01
-3.175040000000e-04, 1.819736e-01
-3.164800000000e-04, 1.819736e-01
-3.154560000000e-04, 1.795310e-01
-3.144320000000e-04, 1.783097e-01
-3.134080000000e-04, 1.746458e-01
-3.123840000000e-04, 1.685393e-01
-3.113600000000e-04, 1.636541e-01
-3.103360000000e-04, 1.575476e-01
-3.093120000000e-04, 1.526624e-01
-3.082880000000e-04, 1.453346e-01
-3.072640000000e-04, 1.380068e-01
-3.062400000000e-04, 1.282364e-01
-3.052160000000e-04, 1.221300e-01
-3.041920000000e-04, 1.135809e-01
-3.031680000000e-04, 1.062531e-01
-3.021440000000e-04, 9.526136e-02
-3.011200000000e-04, 8.549097e-02
-3.000960000000e-04, 7.572057e-02
-2.990720000000e-04, 6.472887e-02
-2.980480000000e-04, 5.373718e-02
-2.970240000000e-04, 4.274548e-02
-2.960000000000e-04, 3.175379e-02
-2.949760000000e-04, 2.076209e-02
-2.939520000000e-04, 9.770396e-03
-2.929280000000e-04, -2.442599e-03
-2.919040000000e-04, -1.343429e-02
-2.908800000000e-04, -2.564729e-02
-2.898560000000e-04, -3.541769e-02
-2.888320000000e-04, -4.763068e-02
-2.878080000000e-04, -5.740108e-02
-2.867840000000e-04, -6.839277e-02
-2.857600000000e-04, -7.816317e-02
-2.847360000000e-04, -8.793357e-02
-2.837120000000e-04, -9.526136e-02
-2.826880000000e-04, -1.050318e-01
-2.816640000000e-04, -1.135809e-01
-2.806400000000e-04, -1.209087e-01
-2.796160000000e-04, -1.282364e-01
-2.785920000000e-04, -1.367855e-01
-2.775680000000e-04, -1.416707e-01
-2.765440000000e-04, -1.489985e-01
-2.755200000000e-04, -1.538837e-01
-2.744960000000e-04, -1.587689e-01
-2.734720000000e-04, -1.624328e-01
-2.724480000000e-04, -1.648754e-01
-2.714240000000e-04, -1.673180e-01
-2.704000000000e-04, -1.685393e-01
-2.693760000000e-04, -1.697606e-01
-2.683520000000e-04, -1.722032e-01
-2.673280000000e-04, -1.709819e-01
-2.663040000000e-04, -1.685393e-01
-2.652800000000e-04, -1.660967e-01
-2.642560000000e-04, -1.685393e-01
-2.632320000000e-04, -1.636541e-01
-2.622080000000e-04, -1.599902e-01
-2.611840000000e-04, -1.551050e-01
-2.601600000000e-04, -1.502198e-01
-2.591360000000e-04, -1.453346e-01
-2.581120000000e-04, -1.392281e-01
-2.570880000000e-04, -1.319003e-01
-2.560640000000e-04, -1.245726e-01
-2.550400000000e-04, -1.172448e-01
-2.540160000000e-04, -1.086957e-01
-2.529920000000e-04, -1.013679e-01
-2.519680000000e-04, -9.281876e-02
-2.509440000000e-04, -8.426967e-02
-2.499200000000e-04, -7.572057e-02
-2.488960000000e-04, -6.595017e-02
-2.478720000000e-04, -5.373718e-02
-2.468480000000e-04, -4.396678e-02
-2.458240000000e-04, -3.419639e-02
-2.448000000000e-04, -2.442599e-02
-2.437760000000e-04, -1.221300e-02
-2.427520000000e-04, -1.221300e-03
-2.417280000000e-04, 9.770396e-03
-2.407040000000e-04, 2.076209e-02
-2.396800000000e-04, 3.053249e-02
-2.386560000000e-04, 4.274548e-02
-2.376320000000e-04, 5.251588e-02
-2.366080000000e-04, 6.350758e-02
-2.355840000000e-04, 7.327797e-02
-2.345600000000e-04, 8.182707e-02
-2.335360000000e-04, 9.159746e-02
-2.325120000000e-04, 1.001466e-01
-2.314880000000e-04, 1.111383e-01
-2.304640000000e-04, 1.184661e-01
-2.294400000000e-04, 1.270152e-01
-2.284160000000e-04, 1.331216e-01
-2.273920000000e-04, 1.416707e-01
-2.263680000000e-04, 1.489985e-01
-2.253440000000e-04, 1.538837e-01
-2.243200000000e-04, 1.599902e-01
-2.232960000000e-04, 1.660967e-01
-2.222720000000e-04, 1.709819e-01
-2.212480000000e-04, 1.758671e-01
-2.202240000000e-04, 1.807523e-01
-2.192000000000e-04, 1.807523e-01
-2.181760000000e-04, 1.844162e-01
-2.171520000000e-04, 1.831949e-01
-2.161280000000e-04, 1.819736e-01
-2.151040000000e-04, 1.807523e-01
-2.140800000000e-04, 1.758671e-01
-2.130560000000e-04, 1.709819e-01
-2.120320000000e-04, 1.648754e-01
-2.110080000000e-04, 1.587689e-01
-2.099840000000e-04, 1.538837e-01
-2.089600000000e-04, 1.453346e-01
-2.079360000000e-04, 1.380068e-01
-2.069120000000e-04, 1.294577e-01
-2.058880000000e-04, 1.233513e-01
-2.048640000000e-04, 1.148022e-01
-2.038400000000e-04, 1.050318e-01
-2.028160000000e-04, 9.648266e-02
-2.017920000000e-04, 8.671227e-02
-2.007680000000e-04, 7.572057e-02
-1.997440000000e-04, 6.717147e-02
-1.987200000000e-04, 5.617978e-02
-1.976960000000e-04, 4.396678e-02
-1.966720000000e-04, 3.175379e-02
-1.956480000000e-04, 2.076209e-02
-1.946240000000e-04, 9.770396e-03
-1.936000000000e-04, -2.442599e-03
-1.925760000000e-04, -1.343429e-02
-1.915520000000e-04, -2.442599e-02
-1.905280000000e-04, -3.541769e-02
-1.895040000000e-04, -4.640938e-02
-1.884800000000e-04, -5.740108e-02
-1.874560000000e-04, -6.839277e-02
-1.864320000000e-04, -7.694187e-02
-1.854080000000e-04, -8.793357e-02
-1.843840000000e-04, -9.648266e-02
-1.833600000000e-04, -1.050318e-01
-1.823360000000e-04, -1.135809e-01
-1.813120000000e-04, -1.209087e-01
-1.802880000000e-04, -1.294577e-01
-1.792640000000e-04, -1.355642e-01
-1.782400000000e-04, -1.416707e-01
-1.772160000000e-04, -1.465559e-01
-1.761920000000e-04, -1.526624e-01
-1.751680000000e-04, -1.563263e-01
-1.741440000000e-04, -1.599902e-01
-1.731200000000e-04, -1.624328e-01
-1.720960000000e-04, -1.660967e-01
-1.710720000000e-04, -1.660967e-01
-1.700480000000e-04, -1.685393e-01
-1.690240000000e-04, -1.709819e-01
-1.680000000000e-04, -1.697606e-01
-1.669760000000e-04, -1.673180e-01
-1.659520000000e-04, -1.648754e-01
-1.649280000000e-04, -1.624328e-01
-1.639040000000e-04, -1.612115e-01
-1.628800000000e-04, -1.587689e-01
-1.618560000000e-04, -1.551050e-01
-1.608320000000e-04, -1.489985e-01
-1.598080000000e-04, -1.428920e-01
-1.587840000000e-04, -1.380068e-01
-1.577600000000e-04, -1.319003e-01
-1.567360000000e-04, -1.245726e-01
-1.557120000000e-04, -1.160235e-01
-1.546880000000e-04, -1.074744e-01
-1.536640000000e-04, -9.892526e-02
-1.526400000000e-04, -9.037616e-02
-1.516160000000e-04, -8.304837e-02
-1.505920000000e-04, -7.327797e-02
-1.495680000000e-04, -6.472887e-02
-1.485440000000e-04, -5.373718e-02
-1.475200000000e-04, -4.518808e-02
