% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 123.4 us, time offset -45.27 us, Normal acquisition mode, 100 averages
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2023-09-28 T 10:58:41 -0400
% Time (s), Channel A (Input 1) (V)
-1.646400000000e-05, 1.868588e-02
-1.633600000000e-05, 1.941866e-02
-1.620800000000e-05, 1.966292e-02
-1.608000000000e-05, 1.923547e-02
-1.595200000000e-05, 1.935760e-02
-1.582400000000e-05, 2.002931e-02
-1.569600000000e-05, 1.941866e-02
-1.556800000000e-05, 1.947973e-02
-1.544000000000e-05, 1.954079e-02
-1.531200000000e-05, 1.954079e-02
-1.518400000000e-05, 2.015144e-02
-1.505600000000e-05, 1.990718e-02
-1.492800000000e-05, 1.990718e-02
-1.480000000000e-05, 1.923547e-02
-1.467200000000e-05, 1.941866e-02
-1.454400000000e-05, 1.954079e-02
-1.441600000000e-05, 1.966292e-02
-1.428800000000e-05, 2.009038e-02
-1.416000000000e-05, 1.978505e-02
-1.403200000000e-05, 1.972399e-02
-1.390400000000e-05, 2.009038e-02
-1.377600000000e-05, 2.027357e-02
-1.364800000000e-05, 1.929653e-02
-1.352000000000e-05, 1.966292e-02
-1.339200000000e-05, 2.033464e-02
-1.326400000000e-05, 2.057890e-02
-1.313600000000e-05, 1.990718e-02
-1.300800000000e-05, 1.935760e-02
-1.288000000000e-05, 1.978505e-02
-1.275200000000e-05, 2.009038e-02
-1.262400000000e-05, 1.923547e-02
-1.249600000000e-05, 1.966292e-02
-1.236800000000e-05, 1.978505e-02
-1.224000000000e-05, 2.057890e-02
-1.211200000000e-05, 2.033464e-02
-1.198400000000e-05, 2.002931e-02
-1.185600000000e-05, 2.009038e-02
-1.172800000000e-05, 1.911334e-02
-1.160000000000e-05, 1.978505e-02
-1.147200000000e-05, 1.996825e-02
-1.134400000000e-05, 1.972399e-02
-1.121600000000e-05, 1.966292e-02
-1.108800000000e-05, 2.051783e-02
-1.096000000000e-05, 1.960186e-02
-1.083200000000e-05, 1.941866e-02
-1.070400000000e-05, 1.947973e-02
-1.057600000000e-05, 1.966292e-02
-1.044800000000e-05, 1.990718e-02
-1.032000000000e-05, 1.966292e-02
-1.019200000000e-05, 2.002931e-02
-1.006400000000e-05, 1.972399e-02
-9.936000000000e-06, 2.045677e-02
-9.808000000000e-06, 1.947973e-02
-9.680000000000e-06, 1.996825e-02
-9.552000000000e-06, 2.039570e-02
-9.424000000000e-06, 2.015144e-02
-9.296000000000e-06, 2.021251e-02
-9.168000000000e-06, 1.978505e-02
-9.040000000000e-06, 1.905227e-02
-8.912000000000e-06, 1.960186e-02
-8.784000000000e-06, 1.966292e-02
-8.656000000000e-06, 1.966292e-02
-8.528000000000e-06, 1.917440e-02
-8.400000000000e-06, 1.972399e-02
-8.272000000000e-06, 1.893014e-02
-8.144000000000e-06, 1.923547e-02
-8.016000000000e-06, 1.996825e-02
-7.888000000000e-06, 1.978505e-02
-7.760000000000e-06, 1.966292e-02
-7.632000000000e-06, 1.984612e-02
-7.504000000000e-06, 1.984612e-02
-7.376000000000e-06, 1.917440e-02
-7.248000000000e-06, 1.978505e-02
-7.120000000000e-06, 1.960186e-02
-6.992000000000e-06, 2.009038e-02
-6.864000000000e-06, 1.990718e-02
-6.736000000000e-06, 2.015144e-02
-6.608000000000e-06, 1.978505e-02
-6.480000000000e-06, 1.947973e-02
-6.352000000000e-06, 1.978505e-02
-6.224000000000e-06, 1.935760e-02
-6.096000000000e-06, 1.972399e-02
-5.968000000000e-06, 2.002931e-02
-5.840000000000e-06, 1.978505e-02
-5.712000000000e-06, 2.033464e-02
-5.584000000000e-06, 1.923547e-02
-5.456000000000e-06, 2.002931e-02
-5.328000000000e-06, 1.984612e-02
-5.200000000000e-06, 1.978505e-02
-5.072000000000e-06, 1.996825e-02
-4.944000000000e-06, 1.960186e-02
-4.816000000000e-06, 1.935760e-02
-4.688000000000e-06, 1.966292e-02
-4.560000000000e-06, 1.966292e-02
-4.432000000000e-06, 1.954079e-02
-4.304000000000e-06, 1.966292e-02
-4.176000000000e-06, 1.996825e-02
-4.048000000000e-06, 2.009038e-02
-3.920000000000e-06, 1.984612e-02
-3.792000000000e-06, 2.002931e-02
-3.664000000000e-06, 1.990718e-02
-3.536000000000e-06, 1.947973e-02
-3.408000000000e-06, 1.978505e-02
-3.280000000000e-06, 1.966292e-02
-3.152000000000e-06, 2.002931e-02
-3.024000000000e-06, 1.966292e-02
-2.896000000000e-06, 1.954079e-02
-2.768000000000e-06, 1.990718e-02
-2.640000000000e-06, 1.984612e-02
-2.512000000000e-06, 1.978505e-02
-2.384000000000e-06, 1.996825e-02
-2.256000000000e-06, 1.972399e-02
-2.128000000000e-06, 1.935760e-02
-2.000000000000e-06, 1.966292e-02
-1.872000000000e-06, 1.990718e-02
-1.744000000000e-06, 1.984612e-02
-1.616000000000e-06, 2.009038e-02
-1.488000000000e-06, 1.996825e-02
-1.360000000000e-06, 1.996825e-02
-1.232000000000e-06, 1.954079e-02
-1.104000000000e-06, 2.082316e-02
-9.760000000000e-07, 1.929653e-02
-8.480000000000e-07, 1.996825e-02
-7.200000000000e-07, 2.021251e-02
-5.920000000000e-07, 1.960186e-02
-4.640000000000e-07, 1.911334e-02
-3.360000000000e-07, 1.862482e-02
-2.080000000000e-07, 1.990718e-02
-8.000000000000e-08, 3.790791e+00
4.800000000000e-08, 4.113153e+00
1.760000000000e-07, -1.678310e+00
3.040000000000e-07, 1.286517e+00
4.320000000000e-07, 8.994260e-01
5.600000000000e-07, -9.966414e-01
6.880000000000e-07, 1.465010e+00
8.160000000000e-07, -6.845994e-01
9.440000000000e-07, 2.672814e-01
1.072000000000e-06, 1.606619e-01
1.200000000000e-06, -1.063752e-01
1.328000000000e-06, 1.086346e-01
1.456000000000e-06, -2.161700e-02
1.584000000000e-06, 1.068637e-02
1.712000000000e-06, 2.589155e-02
1.840000000000e-06, 1.813630e-02
1.968000000000e-06, 1.734245e-02
2.096000000000e-06, 1.990718e-02
2.224000000000e-06, 2.155594e-02
2.352000000000e-06, 1.606009e-02
2.480000000000e-06, 2.125061e-02
2.608000000000e-06, 1.862482e-02
2.736000000000e-06, 1.917440e-02
2.864000000000e-06, 1.923547e-02
2.992000000000e-06, 1.856375e-02
3.120000000000e-06, 2.033464e-02
3.248000000000e-06, 1.776991e-02
3.376000000000e-06, 1.819736e-02
3.504000000000e-06, 1.899121e-02
3.632000000000e-06, 1.783097e-02
3.760000000000e-06, 1.923547e-02
3.888000000000e-06, 1.838056e-02
4.016000000000e-06, 1.783097e-02
4.144000000000e-06, 1.929653e-02
4.272000000000e-06, 1.789204e-02
4.400000000000e-06, 1.874695e-02
4.528000000000e-06, 1.880801e-02
4.656000000000e-06, 1.850269e-02
4.784000000000e-06, 1.880801e-02
4.912000000000e-06, 1.844162e-02
5.040000000000e-06, 1.905227e-02
5.168000000000e-06, 1.899121e-02
5.296000000000e-06, 1.874695e-02
5.424000000000e-06, 1.941866e-02
5.552000000000e-06, 1.874695e-02
5.680000000000e-06, 1.886908e-02
5.808000000000e-06, 1.844162e-02
5.936000000000e-06, 1.886908e-02
6.064000000000e-06, 1.868588e-02
6.192000000000e-06, 1.923547e-02
6.320000000000e-06, 1.917440e-02
6.448000000000e-06, 1.862482e-02
6.576000000000e-06, 1.862482e-02
6.704000000000e-06, 1.862482e-02
6.832000000000e-06, 1.813630e-02
6.960000000000e-06, 1.886908e-02
7.088000000000e-06, 1.856375e-02
7.216000000000e-06, 1.856375e-02
7.344000000000e-06, 1.893014e-02
7.472000000000e-06, 1.838056e-02
7.600000000000e-06, 1.923547e-02
7.728000000000e-06, 1.947973e-02
7.856000000000e-06, 1.911334e-02
7.984000000000e-06, 1.905227e-02
8.112000000000e-06, 1.868588e-02
8.240000000000e-06, 1.880801e-02
8.368000000000e-06, 1.886908e-02
8.496000000000e-06, 1.886908e-02
8.624000000000e-06, 1.929653e-02
8.752000000000e-06, 1.886908e-02
8.880000000000e-06, 1.862482e-02
9.008000000000e-06, 1.862482e-02
9.136000000000e-06, 1.862482e-02
9.264000000000e-06, 1.850269e-02
9.392000000000e-06, 1.856375e-02
9.520000000000e-06, 1.905227e-02
9.648000000000e-06, 1.850269e-02
9.776000000000e-06, 1.886908e-02
9.904000000000e-06, 1.868588e-02
1.003200000000e-05, 1.923547e-02
1.016000000000e-05, 1.868588e-02
1.028800000000e-05, 1.856375e-02
1.041600000000e-05, 1.856375e-02
1.054400000000e-05, 1.929653e-02
1.067200000000e-05, 1.874695e-02
1.080000000000e-05, 1.844162e-02
1.092800000000e-05, 1.783097e-02
1.105600000000e-05, 1.905227e-02
1.118400000000e-05, 1.856375e-02
1.131200000000e-05, 1.856375e-02
1.144000000000e-05, 1.844162e-02
1.156800000000e-05, 1.911334e-02
1.169600000000e-05, 1.880801e-02
1.182400000000e-05, 1.856375e-02
1.195200000000e-05, 1.783097e-02
1.208000000000e-05, 1.819736e-02
1.220800000000e-05, 1.825843e-02
1.233600000000e-05, 1.856375e-02
1.246400000000e-05, 1.862482e-02
1.259200000000e-05, 1.795310e-02
1.272000000000e-05, 1.984612e-02
1.284800000000e-05, 1.874695e-02
1.297600000000e-05, 1.886908e-02
1.310400000000e-05, 1.954079e-02
1.323200000000e-05, 1.856375e-02
1.336000000000e-05, 1.941866e-02
1.348800000000e-05, 1.899121e-02
1.361600000000e-05, 1.880801e-02
1.374400000000e-05, 1.947973e-02
1.387200000000e-05, 1.954079e-02
1.400000000000e-05, 1.893014e-02
1.412800000000e-05, 1.856375e-02
1.425600000000e-05, 1.807523e-02
1.438400000000e-05, 1.862482e-02
1.451200000000e-05, 1.893014e-02
1.464000000000e-05, 1.893014e-02
1.476800000000e-05, 1.899121e-02
1.489600000000e-05, 1.862482e-02
1.502400000000e-05, 1.850269e-02
1.515200000000e-05, 1.856375e-02
1.528000000000e-05, 1.917440e-02
1.540800000000e-05, 1.856375e-02
1.553600000000e-05, 1.893014e-02
1.566400000000e-05, 1.880801e-02
1.579200000000e-05, 1.899121e-02
1.592000000000e-05, 1.880801e-02
1.604800000000e-05, 1.905227e-02
1.617600000000e-05, 1.935760e-02
1.630400000000e-05, 1.838056e-02
1.643200000000e-05, 1.880801e-02
1.656000000000e-05, 1.972399e-02
1.668800000000e-05, 1.880801e-02
1.681600000000e-05, 1.893014e-02
1.694400000000e-05, 1.886908e-02
1.707200000000e-05, 1.917440e-02
1.720000000000e-05, 1.862482e-02
1.732800000000e-05, 1.880801e-02
1.745600000000e-05, 1.899121e-02
1.758400000000e-05, 1.917440e-02
1.771200000000e-05, 1.862482e-02
1.784000000000e-05, 1.838056e-02
1.796800000000e-05, 1.880801e-02
1.809600000000e-05, 1.911334e-02
1.822400000000e-05, 1.929653e-02
1.835200000000e-05, 1.917440e-02
1.848000000000e-05, 1.844162e-02
1.860800000000e-05, 1.838056e-02
1.873600000000e-05, 1.886908e-02
1.886400000000e-05, 1.850269e-02
1.899200000000e-05, 1.905227e-02
1.912000000000e-05, 1.923547e-02
1.924800000000e-05, 1.862482e-02
1.937600000000e-05, 1.850269e-02
1.950400000000e-05, 1.923547e-02
1.963200000000e-05, 1.880801e-02
1.976000000000e-05, 1.905227e-02
1.988800000000e-05, 1.929653e-02
2.001600000000e-05, 1.886908e-02
2.014400000000e-05, 1.880801e-02
2.027200000000e-05, 1.868588e-02
2.040000000000e-05, 1.874695e-02
2.052800000000e-05, 1.825843e-02
2.065600000000e-05, 1.911334e-02
2.078400000000e-05, 1.954079e-02
2.091200000000e-05, 1.899121e-02
2.104000000000e-05, 1.899121e-02
2.116800000000e-05, 1.862482e-02
2.129600000000e-05, 1.935760e-02
2.142400000000e-05, 1.935760e-02
2.155200000000e-05, 1.905227e-02
2.168000000000e-05, 1.911334e-02
2.180800000000e-05, 1.856375e-02
2.193600000000e-05, 1.844162e-02
2.206400000000e-05, 1.899121e-02
2.219200000000e-05, 1.917440e-02
2.232000000000e-05, 1.929653e-02
2.244800000000e-05, 1.917440e-02
2.257600000000e-05, 1.905227e-02
2.270400000000e-05, 1.941866e-02
2.283200000000e-05, 1.893014e-02
2.296000000000e-05, 1.923547e-02
2.308800000000e-05, 1.911334e-02
2.321600000000e-05, 1.838056e-02
2.334400000000e-05, 1.868588e-02
2.347200000000e-05, 1.899121e-02
2.360000000000e-05, 1.941866e-02
2.372800000000e-05, 1.893014e-02
2.385600000000e-05, 1.893014e-02
2.398400000000e-05, 1.862482e-02
2.411200000000e-05, 1.880801e-02
2.424000000000e-05, 1.850269e-02
2.436800000000e-05, 1.819736e-02
2.449600000000e-05, 1.935760e-02
2.462400000000e-05, 1.899121e-02
2.475200000000e-05, 1.886908e-02
2.488000000000e-05, 1.874695e-02
2.500800000000e-05, 1.899121e-02
2.513600000000e-05, 1.862482e-02
2.526400000000e-05, 1.868588e-02
2.539200000000e-05, 1.850269e-02
2.552000000000e-05, 1.880801e-02
2.564800000000e-05, 1.917440e-02
2.577600000000e-05, 1.807523e-02
2.590400000000e-05, 1.801417e-02
2.603200000000e-05, 1.880801e-02
2.616000000000e-05, 1.862482e-02
2.628800000000e-05, 1.911334e-02
2.641600000000e-05, 1.929653e-02
2.654400000000e-05, 1.911334e-02
2.667200000000e-05, 1.874695e-02
2.680000000000e-05, 1.874695e-02
2.692800000000e-05, 1.844162e-02
2.705600000000e-05, 1.880801e-02
2.718400000000e-05, 1.880801e-02
2.731200000000e-05, 1.886908e-02
2.744000000000e-05, 1.862482e-02
2.756800000000e-05, 1.856375e-02
2.769600000000e-05, 1.813630e-02
2.782400000000e-05, 1.880801e-02
2.795200000000e-05, 1.886908e-02
2.808000000000e-05, 1.862482e-02
2.820800000000e-05, 1.844162e-02
2.833600000000e-05, 1.844162e-02
2.846400000000e-05, 1.874695e-02
2.859200000000e-05, 1.819736e-02
2.872000000000e-05, 1.807523e-02
2.884800000000e-05, 1.905227e-02
2.897600000000e-05, 1.905227e-02
2.910400000000e-05, 1.825843e-02
2.923200000000e-05, 1.844162e-02
2.936000000000e-05, 1.929653e-02
2.948800000000e-05, 1.880801e-02
2.961600000000e-05, 1.899121e-02
2.974400000000e-05, 1.856375e-02
2.987200000000e-05, 1.917440e-02
3.000000000000e-05, 1.850269e-02
3.012800000000e-05, 1.947973e-02
3.025600000000e-05, 1.862482e-02
3.038400000000e-05, 1.929653e-02
3.051200000000e-05, 1.917440e-02
3.064000000000e-05, 1.899121e-02
3.076800000000e-05, 1.813630e-02
3.089600000000e-05, 1.844162e-02
3.102400000000e-05, 1.880801e-02
3.115200000000e-05, 1.880801e-02
3.128000000000e-05, 1.893014e-02
3.140800000000e-05, 1.874695e-02
3.153600000000e-05, 1.868588e-02
3.166400000000e-05, 1.850269e-02
3.179200000000e-05, 1.862482e-02
3.192000000000e-05, 1.899121e-02
3.204800000000e-05, 1.905227e-02
3.217600000000e-05, 1.850269e-02
3.230400000000e-05, 1.893014e-02
3.243200000000e-05, 1.935760e-02
3.256000000000e-05, 1.917440e-02
3.268800000000e-05, 1.838056e-02
3.281600000000e-05, 1.874695e-02
3.294400000000e-05, 1.850269e-02
3.307200000000e-05, 1.954079e-02
3.320000000000e-05, 1.893014e-02
3.332800000000e-05, 1.960186e-02
3.345600000000e-05, 1.941866e-02
3.358400000000e-05, 1.893014e-02
3.371200000000e-05, 1.905227e-02
3.384000000000e-05, 1.838056e-02
3.396800000000e-05, 1.862482e-02
3.409600000000e-05, 1.899121e-02
3.422400000000e-05, 1.905227e-02
3.435200000000e-05, 1.862482e-02
3.448000000000e-05, 1.911334e-02
3.460800000000e-05, 1.917440e-02
3.473600000000e-05, 1.905227e-02
3.486400000000e-05, 1.941866e-02
3.499200000000e-05, 1.917440e-02
3.512000000000e-05, 1.941866e-02
3.524800000000e-05, 1.917440e-02
3.537600000000e-05, 1.893014e-02
3.550400000000e-05, 1.862482e-02
3.563200000000e-05, 1.972399e-02
3.576000000000e-05, 1.923547e-02
3.588800000000e-05, 1.935760e-02
3.601600000000e-05, 1.899121e-02
3.614400000000e-05, 1.929653e-02
3.627200000000e-05, 1.923547e-02
3.640000000000e-05, 1.911334e-02
3.652800000000e-05, 1.954079e-02
3.665600000000e-05, 2.021251e-02
3.678400000000e-05, 1.697606e-02
3.691200000000e-05, 1.624328e-02
3.704000000000e-05, 2.815095e-02
3.716800000000e-05, 1.190767e-02
3.729600000000e-05, 1.789204e-02
3.742400000000e-05, 2.387640e-02
3.755200000000e-05, 1.532731e-02
3.768000000000e-05, 1.972399e-02
3.780800000000e-05, 2.070103e-02
3.793600000000e-05, 1.844162e-02
3.806400000000e-05, 1.960186e-02
3.819200000000e-05, 1.947973e-02
3.832000000000e-05, 1.941866e-02
3.844800000000e-05, 1.825843e-02
3.857600000000e-05, 1.978505e-02
3.870400000000e-05, 1.893014e-02
3.883200000000e-05, 1.960186e-02
3.896000000000e-05, 1.947973e-02
3.908800000000e-05, 1.868588e-02
3.921600000000e-05, 1.947973e-02
3.934400000000e-05, 1.874695e-02
3.947200000000e-05, 1.899121e-02
3.960000000000e-05, 1.917440e-02
3.972800000000e-05, 1.862482e-02
3.985600000000e-05, 1.905227e-02
3.998400000000e-05, 1.960186e-02
4.011200000000e-05, 1.929653e-02
4.024000000000e-05, 1.929653e-02
4.036800000000e-05, 1.941866e-02
4.049600000000e-05, 1.978505e-02
4.062400000000e-05, 1.850269e-02
4.075200000000e-05, 1.935760e-02
4.088000000000e-05, 1.911334e-02
4.100800000000e-05, 1.960186e-02
4.113600000000e-05, 1.935760e-02
4.126400000000e-05, 1.972399e-02
4.139200000000e-05, 1.954079e-02
4.152000000000e-05, 1.954079e-02
4.164800000000e-05, 1.917440e-02
4.177600000000e-05, 1.923547e-02
4.190400000000e-05, 1.862482e-02
4.203200000000e-05, 1.911334e-02
4.216000000000e-05, 1.947973e-02
4.228800000000e-05, 1.984612e-02
4.241600000000e-05, 1.947973e-02
4.254400000000e-05, 1.880801e-02
4.267200000000e-05, 1.880801e-02
4.280000000000e-05, 1.929653e-02
4.292800000000e-05, 1.966292e-02
4.305600000000e-05, 1.886908e-02
4.318400000000e-05, 1.905227e-02
4.331200000000e-05, 1.911334e-02
4.344000000000e-05, 1.899121e-02
4.356800000000e-05, 1.923547e-02
4.369600000000e-05, 1.990718e-02
4.382400000000e-05, 1.923547e-02
4.395200000000e-05, 1.899121e-02
4.408000000000e-05, 1.947973e-02
4.420800000000e-05, 1.886908e-02
4.433600000000e-05, 1.911334e-02
4.446400000000e-05, 1.874695e-02
4.459200000000e-05, 1.893014e-02
4.472000000000e-05, 1.917440e-02
4.484800000000e-05, 1.886908e-02
4.497600000000e-05, 1.911334e-02
4.510400000000e-05, 1.935760e-02
4.523200000000e-05, 1.923547e-02
4.536000000000e-05, 1.893014e-02
4.548800000000e-05, 1.960186e-02
4.561600000000e-05, 1.917440e-02
4.574400000000e-05, 1.935760e-02
4.587200000000e-05, 1.862482e-02
4.600000000000e-05, 1.923547e-02
4.612800000000e-05, 1.899121e-02
4.625600000000e-05, 1.941866e-02
4.638400000000e-05, 1.886908e-02
4.651200000000e-05, 1.960186e-02
4.664000000000e-05, 1.935760e-02
4.676800000000e-05, 1.880801e-02
4.689600000000e-05, 1.941866e-02
4.702400000000e-05, 1.917440e-02
4.715200000000e-05, 1.899121e-02
4.728000000000e-05, 1.874695e-02
4.740800000000e-05, 1.929653e-02
4.753600000000e-05, 1.905227e-02
4.766400000000e-05, 1.868588e-02
4.779200000000e-05, 1.929653e-02
4.792000000000e-05, 1.929653e-02
4.804800000000e-05, 1.905227e-02
4.817600000000e-05, 1.838056e-02
4.830400000000e-05, 1.905227e-02
4.843200000000e-05, 1.893014e-02
4.856000000000e-05, 1.893014e-02
4.868800000000e-05, 1.899121e-02
4.881600000000e-05, 1.899121e-02
4.894400000000e-05, 1.868588e-02
4.907200000000e-05, 1.966292e-02
4.920000000000e-05, 1.984612e-02
4.932800000000e-05, 1.917440e-02
4.945600000000e-05, 1.984612e-02
4.958400000000e-05, 1.923547e-02
4.971200000000e-05, 1.954079e-02
4.984000000000e-05, 1.941866e-02
4.996800000000e-05, 1.923547e-02
5.009600000000e-05, 1.929653e-02
5.022400000000e-05, 1.935760e-02
5.035200000000e-05, 1.923547e-02
5.048000000000e-05, 1.935760e-02
5.060800000000e-05, 1.862482e-02
5.073600000000e-05, 1.893014e-02
5.086400000000e-05, 1.911334e-02
5.099200000000e-05, 1.850269e-02
5.112000000000e-05, 1.947973e-02
5.124800000000e-05, 1.899121e-02
5.137600000000e-05, 1.868588e-02
5.150400000000e-05, 1.893014e-02
