% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 105.1 us, time offset -64.20 us, Normal acquisition mode, 60 averages
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2023-09-28 T 10:18:03 -0400
% Moyen cylyndres alu
% Time (s), Channel A (Input 1) (V)
1.166400000000e-05, 2.747924e-03
1.177600000000e-05, 3.114314e-03
1.188800000000e-05, 2.727569e-03
1.200000000000e-05, 2.544374e-03
1.211200000000e-05, 2.788634e-03
1.222400000000e-05, 3.256799e-03
1.233600000000e-05, 2.503664e-03
1.244800000000e-05, 2.300114e-03
1.256000000000e-05, 3.378929e-03
1.267200000000e-05, 2.585084e-03
1.278400000000e-05, 2.177984e-03
1.289600000000e-05, 3.195734e-03
1.300800000000e-05, 2.279759e-03
1.312000000000e-05, 3.012539e-03
1.323200000000e-05, 2.666504e-03
1.334400000000e-05, 2.422244e-03
1.345600000000e-05, 3.704609e-03
1.356800000000e-05, 2.340824e-03
1.368000000000e-05, 2.340824e-03
1.379200000000e-05, 3.847093e-03
1.390400000000e-05, 2.218694e-03
1.401600000000e-05, 2.503664e-03
1.412800000000e-05, 3.053249e-03
1.424000000000e-05, 2.401889e-03
1.435200000000e-05, 3.032894e-03
1.446400000000e-05, 2.401889e-03
1.457600000000e-05, 2.544374e-03
1.468800000000e-05, 3.012539e-03
1.480000000000e-05, 2.646149e-03
1.491200000000e-05, 2.727569e-03
1.502400000000e-05, 2.503664e-03
1.513600000000e-05, 2.910764e-03
1.524800000000e-05, 2.544374e-03
1.536000000000e-05, 2.666504e-03
1.547200000000e-05, 1.526624e-03
1.558400000000e-05, 7.592412e-03
1.569600000000e-05, 2.957580e-02
1.580800000000e-05, -8.382186e-02
1.592000000000e-05, 8.141997e-04
1.603200000000e-05, 4.320754e-01
1.614400000000e-05, -5.257084e-01
1.625600000000e-05, 1.125835e-01
1.636800000000e-05, 3.550928e-01
1.648000000000e-05, -4.673913e-01
1.659200000000e-05, 6.633692e-02
1.670400000000e-05, 2.203428e-01
1.681600000000e-05, -2.646353e-01
1.692800000000e-05, 2.684823e-02
1.704000000000e-05, 9.416219e-02
1.715200000000e-05, -7.830565e-02
1.726400000000e-05, 1.160235e-03
1.737600000000e-05, 3.692396e-02
1.748800000000e-05, -2.088422e-02
1.760000000000e-05, -7.734897e-04
1.771200000000e-05, 1.380068e-02
1.782400000000e-05, -2.055854e-03
1.793600000000e-05, 1.119525e-03
1.804800000000e-05, 4.396678e-03
1.816000000000e-05, 3.053249e-03
1.827200000000e-05, 5.292298e-04
1.838400000000e-05, 3.928513e-03
1.849600000000e-05, 3.562124e-03
1.860800000000e-05, 8.752647e-04
1.872000000000e-05, 3.236444e-03
1.883200000000e-05, 3.297509e-03
1.894400000000e-05, 1.160235e-03
1.905600000000e-05, 3.663899e-03
1.916800000000e-05, 3.032894e-03
1.928000000000e-05, 1.384139e-03
1.939200000000e-05, 3.236444e-03
1.950400000000e-05, 3.521414e-03
1.961600000000e-05, 7.734897e-04
1.972800000000e-05, 4.111708e-03
1.984000000000e-05, 2.849699e-03
1.995200000000e-05, 2.076209e-03
2.006400000000e-05, 3.317864e-03
2.017600000000e-05, 2.381534e-03
2.028800000000e-05, 3.012539e-03
2.040000000000e-05, 2.137274e-03
2.051200000000e-05, 2.971829e-03
2.062400000000e-05, 2.381534e-03
2.073600000000e-05, 2.890409e-03
2.084800000000e-05, 2.788634e-03
2.096000000000e-05, 2.096564e-03
2.107200000000e-05, 2.666504e-03
2.118400000000e-05, 3.358574e-03
2.129600000000e-05, 1.994789e-03
2.140800000000e-05, 2.401889e-03
2.152000000000e-05, 3.439994e-03
2.163200000000e-05, 2.177984e-03
2.174400000000e-05, 2.442599e-03
2.185600000000e-05, 3.378929e-03
2.196800000000e-05, 2.503664e-03
2.208000000000e-05, 2.401889e-03
2.219200000000e-05, 3.317864e-03
2.230400000000e-05, 2.116919e-03
2.241600000000e-05, 2.890409e-03
2.252800000000e-05, 2.707214e-03
2.264000000000e-05, 2.137274e-03
2.275200000000e-05, 3.134669e-03
