% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 2.793 us, time offset -875.3 ns, Normal acquisition mode, 85 averages
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2023-09-28 T 10:10:19 -0400
% Petits cylyndres alu, zoom_first_pulse
% Time (s), Channel A (Input 1) (V)
-5.266054645835e-07, 2.030234e-02
-5.238627147664e-07, 2.083025e-02
-5.211199649492e-07, 2.080549e-02
-5.183772151321e-07, 2.039527e-02
-5.156344653149e-07, 1.987294e-02
-5.128917154978e-07, 1.938955e-02
-5.101489656806e-07, 1.891418e-02
-5.074062158634e-07, 1.836676e-02
-5.046634660463e-07, 1.777411e-02
-5.019207162291e-07, 1.727887e-02
-4.991779664120e-07, 1.700593e-02
-4.964352165948e-07, 1.694091e-02
-4.936924667777e-07, 1.695439e-02
-4.909497169605e-07, 1.694536e-02
-4.882069671434e-07, 1.695263e-02
-4.854642173262e-07, 1.711760e-02
-4.827214675091e-07, 1.752941e-02
-4.799787176919e-07, 1.810090e-02
-4.772359678747e-07, 1.859548e-02
-4.744932180576e-07, 1.879004e-02
-4.717504682404e-07, 1.864009e-02
-4.690077184233e-07, 1.831087e-02
-4.662649686061e-07, 1.805179e-02
-4.635222187890e-07, 1.801532e-02
-4.607794689718e-07, 1.816068e-02
-4.580367191547e-07, 1.831209e-02
-4.552939693375e-07, 1.831851e-02
-4.525512195204e-07, 1.818449e-02
-4.498084697032e-07, 1.806510e-02
-4.470657198860e-07, 1.812826e-02
-4.443229700689e-07, 1.839836e-02
-4.415802202517e-07, 1.871558e-02
-4.388374704346e-07, 1.885320e-02
-4.360947206174e-07, 1.870300e-02
-4.333519708003e-07, 1.837624e-02
-4.306092209831e-07, 1.812878e-02
-4.278664711660e-07, 1.816214e-02
-4.251237213488e-07, 1.845716e-02
-4.223809715317e-07, 1.877385e-02
-4.196382217145e-07, 1.882432e-02
-4.168954718974e-07, 1.849049e-02
-4.141527220802e-07, 1.792084e-02
-4.114099722630e-07, 1.743128e-02
-4.086672224459e-07, 1.728180e-02
-4.059244726287e-07, 1.749562e-02
-4.031817228116e-07, 1.785892e-02
-4.004389729944e-07, 1.810057e-02
-3.976962231773e-07, 1.810532e-02
-3.949534733601e-07, 1.798034e-02
-3.922107235430e-07, 1.791549e-02
-3.894679737258e-07, 1.796489e-02
-3.867252239087e-07, 1.796486e-02
-3.839824740915e-07, 1.769475e-02
-3.812397242743e-07, 1.715160e-02
-3.784969744572e-07, 1.666154e-02
-3.757542246400e-07, 1.666167e-02
-3.730114748229e-07, 1.728964e-02
-3.702687250057e-07, 1.814239e-02
-3.675259751886e-07, 1.847610e-02
-3.647832253714e-07, 1.774954e-02
-3.620404755543e-07, 1.608778e-02
-3.592977257371e-07, 1.426966e-02
-3.565549759200e-07, 1.322719e-02
-3.538122261028e-07, 1.345080e-02
-3.510694762856e-07, 1.475755e-02
-3.483267264685e-07, 1.655128e-02
-3.455839766513e-07, 1.828581e-02
-3.428412268342e-07, 1.972934e-02
-3.400984770170e-07, 2.087308e-02
-3.373557271999e-07, 2.168427e-02
-3.346129773827e-07, 2.201104e-02
-3.318702275656e-07, 2.173591e-02
-3.291274777484e-07, 2.098896e-02
-3.263847279313e-07, 2.015425e-02
-3.236419781141e-07, 1.961687e-02
-3.208992282969e-07, 1.946631e-02
-3.181564784798e-07, 1.942629e-02
-3.154137286626e-07, 1.908538e-02
-3.126709788455e-07, 1.823982e-02
-3.099282290283e-07, 1.707141e-02
-3.071854792112e-07, 1.603503e-02
-3.044427293940e-07, 1.556094e-02
-3.016999795769e-07, 1.579627e-02
-2.989572297597e-07, 1.654454e-02
-2.962144799426e-07, 1.740319e-02
-2.934717301254e-07, 1.798551e-02
-2.907289803082e-07, 1.809638e-02
-2.879862304911e-07, 1.779136e-02
-2.852434806739e-07, 1.731490e-02
-2.825007308568e-07, 1.695952e-02
-2.797579810396e-07, 1.691479e-02
-2.770152312225e-07, 1.718178e-02
-2.742724814053e-07, 1.759877e-02
-2.715297315882e-07, 1.795931e-02
-2.687869817710e-07, 1.813961e-02
-2.660442319539e-07, 1.814455e-02
-2.633014821367e-07, 1.804741e-02
-2.605587323195e-07, 1.788834e-02
-2.578159825024e-07, 1.763107e-02
-2.550732326852e-07, 1.722117e-02
-2.523304828681e-07, 1.668990e-02
-2.495877330509e-07, 1.619591e-02
-2.468449832338e-07, 1.594655e-02
-2.441022334166e-07, 1.605151e-02
-2.413594835995e-07, 1.642784e-02
-2.386167337823e-07, 1.684438e-02
-2.358739839652e-07, 1.707645e-02
-2.331312341480e-07, 1.704973e-02
-2.303884843308e-07, 1.686455e-02
-2.276457345137e-07, 1.669162e-02
-2.249029846965e-07, 1.663279e-02
-2.221602348794e-07, 1.666054e-02
-2.194174850622e-07, 1.667509e-02
-2.166747352451e-07, 1.661641e-02
-2.139319854279e-07, 1.652944e-02
-2.111892356108e-07, 1.652709e-02
-2.084464857936e-07, 1.668335e-02
-2.057037359765e-07, 1.694980e-02
-2.029609861593e-07, 1.716741e-02
-2.002182363421e-07, 1.717377e-02
-1.974754865250e-07, 1.693303e-02
-1.947327367078e-07, 1.659004e-02
-1.919899868907e-07, 1.640038e-02
-1.892472370735e-07, 1.657690e-02
-1.865044872564e-07, 1.715248e-02
-1.837617374392e-07, 1.795039e-02
-1.810189876221e-07, 1.868568e-02
-1.782762378049e-07, 1.911626e-02
-1.755334879878e-07, 1.914270e-02
-1.727907381706e-07, 1.884270e-02
-1.700479883534e-07, 1.838862e-02
-1.673052385363e-07, 1.793539e-02
-1.645624887191e-07, 1.749736e-02
-1.618197389020e-07, 1.721174e-02
-1.590769890848e-07, 1.739290e-02
-1.563342392677e-07, 1.797489e-02
-1.535914894505e-07, 1.840792e-02
-1.508487396334e-07, 1.835295e-02
-1.481059898162e-07, 1.769018e-02
-1.453632399991e-07, 1.722709e-02
-1.426204901819e-07, 1.784144e-02
-1.398777403647e-07, 1.902995e-02
-1.371349905476e-07, 1.956413e-02
-1.343922407304e-07, 1.869485e-02
-1.316494909133e-07, 1.696420e-02
-1.289067410961e-07, 1.626162e-02
-1.261639912790e-07, 1.765930e-02
-1.234212414618e-07, 2.011348e-02
-1.206784916447e-07, 2.124452e-02
-1.179357418275e-07, 1.977358e-02
-1.151929920104e-07, 1.750096e-02
-1.124502421932e-07, 1.669627e-02
-1.097074923760e-07, 1.806005e-02
-1.069647425589e-07, 2.040506e-02
-1.042219927417e-07, 2.087038e-02
-1.014792429246e-07, 1.864504e-02
-9.873649310743e-08, 1.637934e-02
-9.599374329027e-08, 1.661749e-02
-9.325099347312e-08, 1.948756e-02
-9.050824365597e-08, 2.242551e-02
-8.776549383881e-08, 2.208964e-02
-8.502274402166e-08, 1.820116e-02
-8.227999420450e-08, 1.453921e-02
-7.953724438735e-08, 1.568416e-02
-7.679449457019e-08, 2.283700e-02
-7.405174475304e-08, 3.082964e-02
-7.130899493588e-08, 3.065757e-02
