% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 9.856 us, time offset -17.51 us, Normal acquisition mode, 100 averages
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2023-09-28 T 10:15:43 -0400
% Petits cylyndres alu, zoom_second_pulse
% Time (s), Channel A (Input 1) (V)
1.258400000000e-05, 5.129458e-03
1.260000000000e-05, 4.958476e-03
1.261600000000e-05, 4.934050e-03
1.263200000000e-05, 4.555447e-03
1.264800000000e-05, 4.237909e-03
1.266400000000e-05, 3.786029e-03
1.268000000000e-05, 3.321935e-03
1.269600000000e-05, 2.967758e-03
1.271200000000e-05, 2.479238e-03
1.272800000000e-05, 2.332682e-03
1.274400000000e-05, 2.137274e-03
1.276000000000e-05, 1.929653e-03
1.277600000000e-05, 2.027357e-03
1.279200000000e-05, 1.893014e-03
1.280800000000e-05, 2.076209e-03
1.282400000000e-05, 2.210552e-03
1.284000000000e-05, 2.503664e-03
1.285600000000e-05, 2.735711e-03
1.287200000000e-05, 2.747924e-03
1.288800000000e-05, 2.955545e-03
1.290400000000e-05, 2.821202e-03
1.292000000000e-05, 2.784563e-03
1.293600000000e-05, 2.723498e-03
1.295200000000e-05, 2.662433e-03
1.296800000000e-05, 2.393747e-03
1.298400000000e-05, 2.540303e-03
1.300000000000e-05, 2.674646e-03
1.301600000000e-05, 2.808989e-03
1.303200000000e-05, 2.967758e-03
1.304800000000e-05, 3.273083e-03
1.306400000000e-05, 3.602834e-03
1.308000000000e-05, 4.018075e-03
1.309600000000e-05, 4.237909e-03
1.311200000000e-05, 4.567660e-03
1.312800000000e-05, 4.494382e-03
1.314400000000e-05, 4.164631e-03
1.316000000000e-05, 3.920371e-03
1.317600000000e-05, 3.480704e-03
1.319200000000e-05, 2.894480e-03
1.320800000000e-05, 2.210552e-03
1.322400000000e-05, 1.844162e-03
1.324000000000e-05, 1.538837e-03
1.325600000000e-05, 1.135809e-03
1.327200000000e-05, 1.160235e-03
1.328800000000e-05, 1.233513e-03
1.330400000000e-05, 1.404494e-03
1.332000000000e-05, 1.807523e-03
1.333600000000e-05, 2.442599e-03
1.335200000000e-05, 2.662433e-03
1.336800000000e-05, 3.163166e-03
1.338400000000e-05, 3.676112e-03
1.340000000000e-05, 3.895945e-03
1.341600000000e-05, 4.237909e-03
1.343200000000e-05, 4.433317e-03
1.344800000000e-05, 4.555447e-03
1.346400000000e-05, 4.567660e-03
1.348000000000e-05, 4.201270e-03
1.349600000000e-05, 3.859306e-03
1.351200000000e-05, 3.444065e-03
1.352800000000e-05, 2.906693e-03
1.354400000000e-05, 2.454812e-03
1.356000000000e-05, 2.015144e-03
1.357600000000e-05, 1.734245e-03
1.359200000000e-05, 1.441133e-03
1.360800000000e-05, 1.416707e-03
1.362400000000e-05, 1.441133e-03
1.364000000000e-05, 1.978505e-03
1.365600000000e-05, 2.381534e-03
1.367200000000e-05, 2.796776e-03
1.368800000000e-05, 3.248657e-03
1.370400000000e-05, 3.553982e-03
1.372000000000e-05, 3.810455e-03
1.373600000000e-05, 4.079140e-03
1.375200000000e-05, 3.883732e-03
1.376800000000e-05, 3.627260e-03
1.378400000000e-05, 3.334148e-03
1.380000000000e-05, 2.931119e-03
1.381600000000e-05, 2.454812e-03
1.383200000000e-05, 2.332682e-03
1.384800000000e-05, 1.831949e-03
1.386400000000e-05, 2.039570e-03
1.388000000000e-05, 1.941866e-03
1.389600000000e-05, 2.076209e-03
1.391200000000e-05, 2.320469e-03
1.392800000000e-05, 2.808989e-03
1.394400000000e-05, 3.187592e-03
1.396000000000e-05, 3.309722e-03
1.397600000000e-05, 3.273083e-03
1.399200000000e-05, 3.407426e-03
1.400800000000e-05, 3.615047e-03
1.402400000000e-05, 3.248657e-03
1.404000000000e-05, 3.150953e-03
1.405600000000e-05, 3.077675e-03
1.407200000000e-05, 2.650220e-03
1.408800000000e-05, 2.747924e-03
1.410400000000e-05, 2.723498e-03
1.412000000000e-05, 2.564729e-03
1.413600000000e-05, 2.479238e-03
1.415200000000e-05, 2.699072e-03
1.416800000000e-05, 2.528090e-03
