% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 32.65 us, time offset -33.87 us, Normal acquisition mode, 100 averages
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2023-09-28 T 10:56:08 -0400
% Time (s), Channel A (Input 1) (V)
1.754400000000e-05, 2.772350e-03
1.757600000000e-05, 2.821202e-03
1.760800000000e-05, 2.735711e-03
1.764000000000e-05, 2.723498e-03
1.767200000000e-05, 2.735711e-03
1.770400000000e-05, 2.662433e-03
1.773600000000e-05, 2.638007e-03
1.776800000000e-05, 2.808989e-03
1.780000000000e-05, 2.711285e-03
1.783200000000e-05, 2.796776e-03
1.786400000000e-05, 2.760137e-03
1.789600000000e-05, 2.760137e-03
1.792800000000e-05, 2.845628e-03
1.796000000000e-05, 2.894480e-03
1.799200000000e-05, 2.699072e-03
1.802400000000e-05, 2.699072e-03
1.805600000000e-05, 2.747924e-03
1.808800000000e-05, 2.711285e-03
1.812000000000e-05, 2.772350e-03
1.815200000000e-05, 2.601368e-03
1.818400000000e-05, 2.711285e-03
1.821600000000e-05, 2.625794e-03
1.824800000000e-05, 2.601368e-03
1.828000000000e-05, 2.638007e-03
1.831200000000e-05, 2.723498e-03
1.834400000000e-05, 2.784563e-03
1.837600000000e-05, 2.528090e-03
1.840800000000e-05, 2.918906e-03
1.844000000000e-05, 3.187592e-03
1.847200000000e-05, 3.895945e-03
1.850400000000e-05, 4.995115e-03
1.853600000000e-05, 5.202736e-03
1.856800000000e-05, 4.005862e-03
1.860000000000e-05, 1.221300e-05
1.863200000000e-05, -5.019541e-03
1.866400000000e-05, -8.829996e-03
1.869600000000e-05, -8.207133e-03
1.872800000000e-05, -1.172448e-03
1.876000000000e-05, 1.058867e-02
1.879200000000e-05, 2.200782e-02
1.882400000000e-05, 2.732047e-02
1.885600000000e-05, 2.216659e-02
1.888800000000e-05, 8.231559e-03
1.892000000000e-05, -8.866635e-03
1.895200000000e-05, -2.182462e-02
1.898400000000e-05, -2.558622e-02
1.901600000000e-05, -1.816072e-02
1.904800000000e-05, -3.957010e-03
1.908000000000e-05, 1.099170e-02
1.911200000000e-05, 2.182462e-02
1.914400000000e-05, 2.529311e-02
1.917600000000e-05, 2.138495e-02
1.920800000000e-05, 1.265266e-02
1.924000000000e-05, 2.601368e-03
1.927200000000e-05, -6.375183e-03
1.930400000000e-05, -1.159013e-02
1.933600000000e-05, -1.259160e-02
1.936800000000e-05, -9.171959e-03
1.940000000000e-05, -2.381534e-03
1.943200000000e-05, 5.190523e-03
1.946400000000e-05, 1.113825e-02
1.949600000000e-05, 1.383732e-02
1.952800000000e-05, 1.244504e-02
1.956000000000e-05, 8.268198e-03
1.959200000000e-05, 3.395213e-03
1.962400000000e-05, -6.595017e-04
1.965600000000e-05, -3.016610e-03
1.968800000000e-05, -2.735711e-03
1.972000000000e-05, -1.355642e-03
1.975200000000e-05, 8.426967e-04
1.978400000000e-05, 2.723498e-03
1.981600000000e-05, 4.152418e-03
1.984800000000e-05, 4.995115e-03
1.988000000000e-05, 5.373718e-03
1.991200000000e-05, 4.775281e-03
1.994400000000e-05, 3.895945e-03
1.997600000000e-05, 2.796776e-03
2.000800000000e-05, 1.966292e-03
2.004000000000e-05, 1.404494e-03
2.007200000000e-05, 1.441133e-03
2.010400000000e-05, 1.746458e-03
2.013600000000e-05, 2.247191e-03
2.016800000000e-05, 2.784563e-03
2.020000000000e-05, 2.906693e-03
2.023200000000e-05, 3.138740e-03
2.026400000000e-05, 3.187592e-03
2.029600000000e-05, 3.102101e-03
2.032800000000e-05, 3.028823e-03
2.036000000000e-05, 2.870054e-03
2.039200000000e-05, 2.735711e-03
2.042400000000e-05, 2.552516e-03
2.045600000000e-05, 2.540303e-03
2.048800000000e-05, 2.393747e-03
2.052000000000e-05, 2.601368e-03
2.055200000000e-05, 2.576942e-03
2.058400000000e-05, 2.796776e-03
2.061600000000e-05, 2.943332e-03
2.064800000000e-05, 2.894480e-03
2.068000000000e-05, 2.760137e-03
2.071200000000e-05, 2.967758e-03
2.074400000000e-05, 2.870054e-03
2.077600000000e-05, 2.894480e-03
2.080800000000e-05, 2.857841e-03
2.084000000000e-05, 2.796776e-03
2.087200000000e-05, 2.992184e-03
2.090400000000e-05, 2.857841e-03
2.093600000000e-05, 2.760137e-03
2.096800000000e-05, 2.821202e-03
2.100000000000e-05, 2.882267e-03
2.103200000000e-05, 3.004397e-03
2.106400000000e-05, 2.845628e-03
2.109600000000e-05, 2.711285e-03
2.112800000000e-05, 2.894480e-03
2.116000000000e-05, 2.979971e-03
2.119200000000e-05, 2.894480e-03
2.122400000000e-05, 2.857841e-03
2.125600000000e-05, 2.870054e-03
2.128800000000e-05, 2.857841e-03
2.132000000000e-05, 2.906693e-03
2.135200000000e-05, 2.833415e-03
2.138400000000e-05, 3.089888e-03
2.141600000000e-05, 2.833415e-03
2.144800000000e-05, 2.747924e-03
2.148000000000e-05, 2.931119e-03
2.151200000000e-05, 2.686859e-03
2.154400000000e-05, 2.821202e-03
2.157600000000e-05, 2.723498e-03
2.160800000000e-05, 2.699072e-03
2.164000000000e-05, 2.650220e-03
2.167200000000e-05, 2.747924e-03
2.170400000000e-05, 2.796776e-03
2.173600000000e-05, 2.723498e-03
2.176800000000e-05, 2.918906e-03
2.180000000000e-05, 2.711285e-03
2.183200000000e-05, 2.894480e-03
2.186400000000e-05, 2.747924e-03
2.189600000000e-05, 2.821202e-03
2.192800000000e-05, 2.650220e-03
2.196000000000e-05, 2.747924e-03
2.199200000000e-05, 2.760137e-03
2.202400000000e-05, 2.686859e-03
2.205600000000e-05, 2.760137e-03
2.208800000000e-05, 2.674646e-03
2.212000000000e-05, 2.699072e-03
2.215200000000e-05, 2.576942e-03
2.218400000000e-05, 2.625794e-03
2.221600000000e-05, 2.601368e-03
2.224800000000e-05, 2.552516e-03
2.228000000000e-05, 2.650220e-03
2.231200000000e-05, 2.674646e-03
