% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 37.33 us, time offset -23.51 us, Normal acquisition mode, 100 averages
% Edge trigger: Channel A, level 1.000 V, Auto mode, Both edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2023-09-28 T 11:11:35 -0400
% Time (s), Channel A (Input 1) (V)
4.840000000000e-06, 3.102101e-03
4.880000000000e-06, 3.566195e-03
4.920000000000e-06, 3.590621e-03
4.960000000000e-06, 3.199805e-03
5.000000000000e-06, 2.613581e-03
5.040000000000e-06, 2.467025e-03
5.080000000000e-06, 2.357108e-03
5.120000000000e-06, 2.381534e-03
5.160000000000e-06, 2.564729e-03
5.200000000000e-06, 2.943332e-03
5.240000000000e-06, 3.199805e-03
5.280000000000e-06, 3.346361e-03
5.320000000000e-06, 3.395213e-03
5.360000000000e-06, 2.906693e-03
5.400000000000e-06, 2.344895e-03
5.440000000000e-06, 2.002931e-03
5.480000000000e-06, 2.125061e-03
5.520000000000e-06, 2.638007e-03
5.560000000000e-06, 3.065462e-03
5.600000000000e-06, 3.480704e-03
5.640000000000e-06, 3.407426e-03
5.680000000000e-06, 2.967758e-03
5.720000000000e-06, 2.552516e-03
5.760000000000e-06, 2.332682e-03
5.800000000000e-06, 2.344895e-03
5.840000000000e-06, 2.625794e-03
5.880000000000e-06, 2.943332e-03
5.920000000000e-06, 3.114314e-03
5.960000000000e-06, 3.199805e-03
6.000000000000e-06, 2.821202e-03
6.040000000000e-06, 2.674646e-03
6.080000000000e-06, 2.515877e-03
6.120000000000e-06, 2.418173e-03
6.160000000000e-06, 2.638007e-03
6.200000000000e-06, 2.955545e-03
6.240000000000e-06, 3.236444e-03
6.280000000000e-06, 3.297509e-03
6.320000000000e-06, 2.943332e-03
6.360000000000e-06, 2.711285e-03
6.400000000000e-06, 2.296043e-03
6.440000000000e-06, 2.296043e-03
6.480000000000e-06, 2.735711e-03
6.520000000000e-06, 3.248657e-03
6.560000000000e-06, 3.358574e-03
6.600000000000e-06, 3.358574e-03
6.640000000000e-06, 3.089888e-03
6.680000000000e-06, 2.601368e-03
6.720000000000e-06, 2.528090e-03
6.760000000000e-06, 2.528090e-03
6.800000000000e-06, 2.808989e-03
6.840000000000e-06, 2.906693e-03
6.880000000000e-06, 2.943332e-03
6.920000000000e-06, 2.870054e-03
6.960000000000e-06, 2.540303e-03
7.000000000000e-06, 2.821202e-03
7.040000000000e-06, 3.089888e-03
7.080000000000e-06, 2.992184e-03
7.120000000000e-06, 2.808989e-03
7.160000000000e-06, 2.528090e-03
7.200000000000e-06, 2.430386e-03
7.240000000000e-06, 2.564729e-03
7.280000000000e-06, 2.601368e-03
7.320000000000e-06, 2.674646e-03
7.360000000000e-06, 2.906693e-03
7.400000000000e-06, 2.955545e-03
7.440000000000e-06, 2.723498e-03
7.480000000000e-06, 2.503664e-03
7.520000000000e-06, 2.442599e-03
7.560000000000e-06, 2.711285e-03
7.600000000000e-06, 2.479238e-03
7.640000000000e-06, 2.699072e-03
7.680000000000e-06, 2.833415e-03
7.720000000000e-06, 2.711285e-03
7.760000000000e-06, 2.821202e-03
7.800000000000e-06, 2.943332e-03
7.840000000000e-06, 2.735711e-03
7.880000000000e-06, 3.993649e-03
7.920000000000e-06, 1.149243e-02
7.960000000000e-06, 1.835613e-02
8.000000000000e-06, 1.099170e-04
8.040000000000e-06, -3.876405e-02
8.080000000000e-06, -6.927211e-02
8.120000000000e-06, -3.825110e-02
8.160000000000e-06, 6.416708e-02
8.200000000000e-06, 1.614436e-01
8.240000000000e-06, 1.523571e-01
8.280000000000e-06, 1.373962e-02
8.320000000000e-06, -1.668784e-01
8.360000000000e-06, -2.501832e-01
8.400000000000e-06, -1.503420e-01
8.440000000000e-06, 4.700782e-02
8.480000000000e-06, 2.050562e-01
8.520000000000e-06, 2.266610e-01
8.560000000000e-06, 1.179775e-01
8.600000000000e-06, -3.194920e-02
8.640000000000e-06, -1.335857e-01
8.680000000000e-06, -1.525403e-01
8.720000000000e-06, -1.006717e-01
8.760000000000e-06, -1.397167e-02
8.800000000000e-06, 6.818515e-02
8.840000000000e-06, 1.134465e-01
8.880000000000e-06, 1.018197e-01
8.920000000000e-06, 4.220811e-02
8.960000000000e-06, -2.997069e-02
9.000000000000e-06, -7.327797e-02
9.040000000000e-06, -6.761114e-02
9.080000000000e-06, -2.751588e-02
9.120000000000e-06, 1.554714e-02
9.160000000000e-06, 3.840987e-02
9.200000000000e-06, 3.735955e-02
9.240000000000e-06, 2.322912e-02
9.280000000000e-06, 7.303371e-03
9.320000000000e-06, -5.043967e-03
9.360000000000e-06, -1.226185e-02
9.400000000000e-06, -1.328774e-02
9.440000000000e-06, -7.266732e-03
9.480000000000e-06, 1.966292e-03
9.520000000000e-06, 9.110894e-03
9.560000000000e-06, 1.066194e-02
9.600000000000e-06, 8.085003e-03
9.640000000000e-06, 4.982902e-03
9.680000000000e-06, 3.468491e-03
9.720000000000e-06, 2.467025e-03
9.760000000000e-06, 3.419639e-04
9.800000000000e-06, -1.795310e-03
9.840000000000e-06, -2.369321e-03
9.880000000000e-06, 5.740108e-04
9.920000000000e-06, 4.421104e-03
9.960000000000e-06, 6.998046e-03
1.000000000000e-05, 7.022472e-03
1.004000000000e-05, 4.763068e-03
1.008000000000e-05, 1.966292e-03
1.012000000000e-05, 4.396678e-04
1.016000000000e-05, 2.198339e-04
1.020000000000e-05, 8.304837e-04
1.024000000000e-05, 1.770884e-03
1.028000000000e-05, 2.833415e-03
1.032000000000e-05, 3.993649e-03
1.036000000000e-05, 4.506595e-03
1.040000000000e-05, 4.360039e-03
1.044000000000e-05, 3.321935e-03
1.048000000000e-05, 2.296043e-03
1.052000000000e-05, 1.428920e-03
1.056000000000e-05, 1.465559e-03
1.060000000000e-05, 2.002931e-03
1.064000000000e-05, 2.638007e-03
1.068000000000e-05, 3.138740e-03
1.072000000000e-05, 3.737177e-03
1.076000000000e-05, 3.786029e-03
1.080000000000e-05, 3.639473e-03
1.084000000000e-05, 3.016610e-03
1.088000000000e-05, 2.210552e-03
1.092000000000e-05, 1.770884e-03
1.096000000000e-05, 1.758671e-03
