% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 37.33 us, time offset -23.51 us, Normal acquisition mode, 100 averages
% Edge trigger: Channel A, level 1.000 V, Auto mode, Both edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2023-09-28 T 11:12:21 -0400
% Time (s), Channel A (Input 1) (V)
4.840000000000e-06, 3.407426e-03
4.880000000000e-06, 3.126527e-03
4.920000000000e-06, 3.126527e-03
4.960000000000e-06, 2.808989e-03
5.000000000000e-06, 2.723498e-03
5.040000000000e-06, 2.833415e-03
5.080000000000e-06, 3.077675e-03
5.120000000000e-06, 3.505130e-03
5.160000000000e-06, 3.517343e-03
5.200000000000e-06, 3.248657e-03
5.240000000000e-06, 3.053249e-03
5.280000000000e-06, 2.796776e-03
5.320000000000e-06, 2.857841e-03
5.360000000000e-06, 2.955545e-03
5.400000000000e-06, 3.163166e-03
5.440000000000e-06, 3.431852e-03
5.480000000000e-06, 3.334148e-03
5.520000000000e-06, 3.199805e-03
5.560000000000e-06, 2.943332e-03
5.600000000000e-06, 2.943332e-03
5.640000000000e-06, 2.882267e-03
5.680000000000e-06, 3.089888e-03
5.720000000000e-06, 3.187592e-03
5.760000000000e-06, 3.163166e-03
5.800000000000e-06, 3.175379e-03
5.840000000000e-06, 3.138740e-03
5.880000000000e-06, 3.016610e-03
5.920000000000e-06, 2.967758e-03
5.960000000000e-06, 2.943332e-03
6.000000000000e-06, 2.967758e-03
6.040000000000e-06, 3.065462e-03
6.080000000000e-06, 3.053249e-03
6.120000000000e-06, 3.028823e-03
6.160000000000e-06, 3.102101e-03
6.200000000000e-06, 3.126527e-03
6.240000000000e-06, 3.212018e-03
6.280000000000e-06, 3.175379e-03
6.320000000000e-06, 2.906693e-03
6.360000000000e-06, 2.931119e-03
6.400000000000e-06, 2.992184e-03
6.440000000000e-06, 2.967758e-03
6.480000000000e-06, 3.138740e-03
6.520000000000e-06, 3.004397e-03
6.560000000000e-06, 3.016610e-03
6.600000000000e-06, 3.089888e-03
6.640000000000e-06, 3.077675e-03
6.680000000000e-06, 2.992184e-03
6.720000000000e-06, 3.041036e-03
6.760000000000e-06, 2.870054e-03
6.800000000000e-06, 3.016610e-03
6.840000000000e-06, 3.138740e-03
6.880000000000e-06, 3.187592e-03
6.920000000000e-06, 3.163166e-03
6.960000000000e-06, 3.053249e-03
7.000000000000e-06, 2.821202e-03
7.040000000000e-06, 2.833415e-03
7.080000000000e-06, 2.955545e-03
7.120000000000e-06, 3.102101e-03
7.160000000000e-06, 3.212018e-03
7.200000000000e-06, 3.236444e-03
7.240000000000e-06, 3.028823e-03
7.280000000000e-06, 2.943332e-03
7.320000000000e-06, 2.894480e-03
7.360000000000e-06, 2.870054e-03
7.400000000000e-06, 2.894480e-03
7.440000000000e-06, 3.199805e-03
7.480000000000e-06, 3.627260e-03
7.520000000000e-06, 3.798242e-03
7.560000000000e-06, 2.528090e-03
7.600000000000e-06, 5.984368e-04
7.640000000000e-06, 4.640938e-04
7.680000000000e-06, 3.578408e-03
7.720000000000e-06, 8.573523e-03
7.760000000000e-06, 1.017343e-02
7.800000000000e-06, 4.995115e-03
7.840000000000e-06, -3.370787e-03
7.880000000000e-06, -1.074744e-03
7.920000000000e-06, 4.303860e-02
7.960000000000e-06, 1.067294e-01
8.000000000000e-06, 5.836590e-02
8.040000000000e-06, -1.534929e-01
8.080000000000e-06, -4.024182e-01
8.120000000000e-06, -4.025892e-01
8.160000000000e-06, 5.533708e-02
8.200000000000e-06, 7.032243e-01
8.240000000000e-06, 9.930875e-01
8.280000000000e-06, 5.342330e-01
8.320000000000e-06, -4.054837e-01
8.360000000000e-06, -1.156424e+00
8.400000000000e-06, -1.114546e+00
8.440000000000e-06, -3.422203e-01
8.480000000000e-06, 5.695408e-01
8.520000000000e-06, 1.049170e+00
8.560000000000e-06, 8.710186e-01
8.600000000000e-06, 2.754641e-01
8.640000000000e-06, -3.436493e-01
8.680000000000e-06, -6.937348e-01
8.720000000000e-06, -6.692599e-01
8.760000000000e-06, -3.269907e-01
8.800000000000e-06, 1.410601e-01
8.840000000000e-06, 4.908281e-01
8.880000000000e-06, 5.468979e-01
8.920000000000e-06, 2.995237e-01
8.960000000000e-06, -7.296043e-02
9.000000000000e-06, -3.317172e-01
9.040000000000e-06, -3.511847e-01
9.080000000000e-06, -1.807279e-01
9.120000000000e-06, 3.320713e-02
9.160000000000e-06, 1.683684e-01
9.200000000000e-06, 1.891549e-01
9.240000000000e-06, 1.267098e-01
9.280000000000e-06, 3.008061e-02
9.320000000000e-06, -5.787738e-02
9.360000000000e-06, -1.047142e-01
9.400000000000e-06, -9.256229e-02
9.440000000000e-06, -3.398877e-02
9.480000000000e-06, 3.285296e-02
9.520000000000e-06, 6.770885e-02
9.560000000000e-06, 5.725452e-02
9.600000000000e-06, 2.264289e-02
9.640000000000e-06, -8.097216e-03
9.680000000000e-06, -2.133610e-02
9.720000000000e-06, -1.871031e-02
9.760000000000e-06, -1.104055e-02
9.800000000000e-06, -2.076209e-03
9.840000000000e-06, 7.669761e-03
9.880000000000e-06, 1.519297e-02
9.920000000000e-06, 1.619443e-02
9.960000000000e-06, 9.452858e-03
1.000000000000e-05, 5.007328e-04
1.004000000000e-05, -4.921837e-03
1.008000000000e-05, -3.578408e-03
1.012000000000e-05, 8.426967e-04
1.016000000000e-05, 4.018075e-03
1.020000000000e-05, 4.811920e-03
1.024000000000e-05, 4.860772e-03
1.028000000000e-05, 4.677577e-03
1.032000000000e-05, 4.323400e-03
1.036000000000e-05, 3.065462e-03
1.040000000000e-05, 1.331216e-03
1.044000000000e-05, 8.915487e-04
1.048000000000e-05, 2.039570e-03
1.052000000000e-05, 3.712751e-03
1.056000000000e-05, 4.543234e-03
1.060000000000e-05, 3.944797e-03
1.064000000000e-05, 2.772350e-03
1.068000000000e-05, 2.332682e-03
1.072000000000e-05, 2.430386e-03
1.076000000000e-05, 2.943332e-03
1.080000000000e-05, 3.456278e-03
1.084000000000e-05, 3.358574e-03
1.088000000000e-05, 3.236444e-03
1.092000000000e-05, 3.028823e-03
1.096000000000e-05, 2.808989e-03
1.100000000000e-05, 2.833415e-03
1.104000000000e-05, 2.796776e-03
1.108000000000e-05, 2.906693e-03
1.112000000000e-05, 2.967758e-03
1.116000000000e-05, 3.321935e-03
1.120000000000e-05, 3.627260e-03
1.124000000000e-05, 3.383000e-03
1.128000000000e-05, 3.138740e-03
1.132000000000e-05, 3.016610e-03
1.136000000000e-05, 2.723498e-03
1.140000000000e-05, 2.601368e-03
1.144000000000e-05, 2.662433e-03
1.148000000000e-05, 2.918906e-03
1.152000000000e-05, 3.028823e-03
1.156000000000e-05, 3.199805e-03
1.160000000000e-05, 3.395213e-03
1.164000000000e-05, 3.346361e-03
1.168000000000e-05, 2.894480e-03
1.172000000000e-05, 2.442599e-03
1.176000000000e-05, 2.393747e-03
1.180000000000e-05, 2.808989e-03
1.184000000000e-05, 3.297509e-03
1.188000000000e-05, 3.419639e-03
1.192000000000e-05, 3.199805e-03
1.196000000000e-05, 2.491451e-03
1.200000000000e-05, 2.088422e-03
1.204000000000e-05, 2.173913e-03
1.208000000000e-05, 2.418173e-03
1.212000000000e-05, 3.285296e-03
1.216000000000e-05, 4.457743e-03
1.220000000000e-05, 5.471422e-03
1.224000000000e-05, 5.752321e-03
1.228000000000e-05, 4.286761e-03
1.232000000000e-05, 1.441133e-03
1.236000000000e-05, -1.245726e-03
1.240000000000e-05, -1.746458e-03
1.244000000000e-05, 5.007328e-04
1.248000000000e-05, 4.311187e-03
1.252000000000e-05, 7.010259e-03
1.256000000000e-05, 7.376649e-03
1.260000000000e-05, 5.337079e-03
1.264000000000e-05, 2.381534e-03
1.268000000000e-05, 1.099170e-04
1.272000000000e-05, -4.885198e-04
1.276000000000e-05, 3.541769e-04
1.280000000000e-05, 1.575476e-03
1.284000000000e-05, 2.772350e-03
1.288000000000e-05, 4.042501e-03
1.292000000000e-05, 5.178310e-03
1.296000000000e-05, 5.850025e-03
1.300000000000e-05, 5.422570e-03
1.304000000000e-05, 3.920371e-03
1.308000000000e-05, 1.758671e-03
1.312000000000e-05, 2.320469e-04
1.316000000000e-05, -4.885198e-05
1.320000000000e-05, 9.526136e-04
1.324000000000e-05, 3.077675e-03
1.328000000000e-05, 5.007328e-03
1.332000000000e-05, 5.837812e-03
1.336000000000e-05, 5.239375e-03
1.340000000000e-05, 3.273083e-03
1.344000000000e-05, 1.123596e-03
1.348000000000e-05, 1.465559e-04
1.352000000000e-05, 1.038105e-03
1.356000000000e-05, 2.747924e-03
1.360000000000e-05, 4.396678e-03
1.364000000000e-05, 4.921837e-03
1.368000000000e-05, 4.262335e-03
1.372000000000e-05, 3.102101e-03
1.376000000000e-05, 2.137274e-03
1.380000000000e-05, 1.868588e-03
1.384000000000e-05, 2.491451e-03
1.388000000000e-05, 2.870054e-03
1.392000000000e-05, 3.285296e-03
1.396000000000e-05, 3.346361e-03
1.400000000000e-05, 3.163166e-03
1.404000000000e-05, 3.089888e-03
1.408000000000e-05, 2.894480e-03
1.412000000000e-05, 2.845628e-03
1.416000000000e-05, 2.870054e-03
1.420000000000e-05, 2.931119e-03
1.424000000000e-05, 2.906693e-03
1.428000000000e-05, 2.894480e-03
1.432000000000e-05, 2.918906e-03
1.436000000000e-05, 2.821202e-03
1.440000000000e-05, 3.077675e-03
1.444000000000e-05, 3.175379e-03
1.448000000000e-05, 2.845628e-03
1.452000000000e-05, 2.711285e-03
1.456000000000e-05, 2.711285e-03
1.460000000000e-05, 2.796776e-03
1.464000000000e-05, 2.686859e-03
1.468000000000e-05, 2.699072e-03
1.472000000000e-05, 2.772350e-03
1.476000000000e-05, 2.796776e-03
1.480000000000e-05, 3.199805e-03
1.484000000000e-05, 3.431852e-03
1.488000000000e-05, 3.566195e-03
1.492000000000e-05, 3.102101e-03
1.496000000000e-05, 2.503664e-03
1.500000000000e-05, 1.966292e-03
1.504000000000e-05, 2.063996e-03
1.508000000000e-05, 2.796776e-03
1.512000000000e-05, 3.566195e-03
1.516000000000e-05, 4.030288e-03
1.520000000000e-05, 3.847093e-03
1.524000000000e-05, 3.004397e-03
1.528000000000e-05, 2.430386e-03
1.532000000000e-05, 1.819736e-03
1.536000000000e-05, 1.514411e-03
1.540000000000e-05, 2.161700e-03
1.544000000000e-05, 3.724964e-03
1.548000000000e-05, 5.605765e-03
1.552000000000e-05, 5.984368e-03
1.556000000000e-05, 2.967758e-03
1.560000000000e-05, -1.184661e-03
1.564000000000e-05, -1.941866e-03
1.568000000000e-05, 5.495848e-03
1.572000000000e-05, 2.778456e-02
1.576000000000e-05, 3.623596e-02
1.580000000000e-05, -2.274060e-02
1.584000000000e-05, -1.115535e-01
1.588000000000e-05, -1.274792e-01
1.592000000000e-05, 1.420371e-02
1.596000000000e-05, 2.575110e-01
1.600000000000e-05, 3.558012e-01
1.604000000000e-05, 1.246703e-01
1.608000000000e-05, -2.898022e-01
1.612000000000e-05, -5.588667e-01
1.616000000000e-05, -3.860894e-01
1.620000000000e-05, 1.112482e-01
1.624000000000e-05, 5.374451e-01
1.628000000000e-05, 5.643869e-01
1.632000000000e-05, 2.062042e-01
1.636000000000e-05, -2.431852e-01
1.640000000000e-05, -4.706278e-01
1.644000000000e-05, -3.569858e-01
1.648000000000e-05, -7.155594e-02
1.652000000000e-05, 1.860283e-01
1.656000000000e-05, 2.961163e-01
1.660000000000e-05, 2.281510e-01
1.664000000000e-05, 5.823156e-02
1.668000000000e-05, -1.189057e-01
1.672000000000e-05, -2.101734e-01
1.676000000000e-05, -1.606864e-01
1.680000000000e-05, -1.355642e-02
1.684000000000e-05, 1.290669e-01
1.688000000000e-05, 1.729604e-01
1.692000000000e-05, 9.717880e-02
1.696000000000e-05, -2.596483e-02
1.700000000000e-05, -1.077797e-01
1.704000000000e-05, -1.054714e-01
1.708000000000e-05, -4.081583e-02
1.712000000000e-05, 3.352467e-02
1.716000000000e-05, 7.585491e-02
1.720000000000e-05, 7.331461e-02
1.724000000000e-05, 3.597948e-02
1.728000000000e-05, -1.311676e-02
1.732000000000e-05, -4.877870e-02
1.736000000000e-05, -5.285784e-02
1.740000000000e-05, -2.530533e-02
1.744000000000e-05, 1.438691e-02
1.748000000000e-05, 4.153640e-02
1.752000000000e-05, 4.225696e-02
1.756000000000e-05, 2.125061e-02
1.760000000000e-05, -3.895945e-03
1.764000000000e-05, -1.962628e-02
1.768000000000e-05, -2.070103e-02
1.772000000000e-05, -1.053981e-02
1.776000000000e-05, 3.212018e-03
1.780000000000e-05, 1.469223e-02
1.784000000000e-05, 1.912555e-02
1.788000000000e-05, 1.439912e-02
1.792000000000e-05, 4.811920e-03
1.796000000000e-05, -4.030288e-03
1.800000000000e-05, -7.938447e-03
1.804000000000e-05, -5.043967e-03
1.808000000000e-05, 1.086957e-03
1.812000000000e-05, 6.179776e-03
1.816000000000e-05, 8.659014e-03
1.820000000000e-05, 8.158281e-03
1.824000000000e-05, 5.337079e-03
1.828000000000e-05, 1.685393e-03
1.832000000000e-05, -9.648266e-04
1.836000000000e-05, -1.404494e-03
1.840000000000e-05, 6.350758e-04
1.844000000000e-05, 3.590621e-03
1.848000000000e-05, 5.434783e-03
1.852000000000e-05, 5.666830e-03
1.856000000000e-05, 4.457743e-03
1.860000000000e-05, 2.796776e-03
1.864000000000e-05, 1.477772e-03
1.868000000000e-05, 1.123596e-03
1.872000000000e-05, 1.612115e-03
1.876000000000e-05, 2.479238e-03
1.880000000000e-05, 3.737177e-03
1.884000000000e-05, 4.286761e-03
1.888000000000e-05, 3.993649e-03
1.892000000000e-05, 3.431852e-03
1.896000000000e-05, 2.369321e-03
1.900000000000e-05, 1.856375e-03
1.904000000000e-05, 1.795310e-03
1.908000000000e-05, 2.442599e-03
1.912000000000e-05, 3.175379e-03
1.916000000000e-05, 3.590621e-03
1.920000000000e-05, 3.810455e-03
1.924000000000e-05, 3.541769e-03
1.928000000000e-05, 3.041036e-03
1.932000000000e-05, 2.418173e-03
1.936000000000e-05, 1.917440e-03
1.940000000000e-05, 2.186126e-03
1.944000000000e-05, 2.699072e-03
1.948000000000e-05, 3.370787e-03
1.952000000000e-05, 4.152418e-03
1.956000000000e-05, 4.066927e-03
1.960000000000e-05, 3.456278e-03
1.964000000000e-05, 2.650220e-03
1.968000000000e-05, 1.929653e-03
1.972000000000e-05, 1.563263e-03
1.976000000000e-05, 2.051783e-03
1.980000000000e-05, 2.760137e-03
1.984000000000e-05, 3.138740e-03
1.988000000000e-05, 3.492917e-03
1.992000000000e-05, 4.005862e-03
1.996000000000e-05, 4.824133e-03
2.000000000000e-05, 5.874451e-03
2.004000000000e-05, 5.617978e-03
2.008000000000e-05, 3.260870e-03
2.012000000000e-05, -6.228628e-04
2.016000000000e-05, -4.506595e-03
2.020000000000e-05, -5.556913e-03
2.024000000000e-05, -2.051783e-03
2.028000000000e-05, 4.763068e-03
2.032000000000e-05, 1.234734e-02
2.036000000000e-05, 1.651197e-02
2.040000000000e-05, 1.224963e-02
2.044000000000e-05, 3.077675e-03
2.048000000000e-05, -6.533952e-03
2.052000000000e-05, -1.078407e-02
2.056000000000e-05, -7.474353e-03
2.060000000000e-05, 9.281876e-04
2.064000000000e-05, 9.110894e-03
2.068000000000e-05, 1.372741e-02
2.072000000000e-05, 1.249389e-02
2.076000000000e-05, 6.778212e-03
2.080000000000e-05, -6.350758e-04
2.084000000000e-05, -6.191989e-03
2.088000000000e-05, -6.692721e-03
2.092000000000e-05, -1.673180e-03
2.096000000000e-05, 4.677577e-03
2.100000000000e-05, 9.013190e-03
2.104000000000e-05, 9.257450e-03
2.108000000000e-05, 5.959942e-03
2.112000000000e-05, 2.296043e-03
2.116000000000e-05, -2.442599e-04
2.120000000000e-05, -7.327797e-04
2.124000000000e-05, 8.304837e-04
2.128000000000e-05, 3.004397e-03
2.132000000000e-05, 4.702003e-03
2.136000000000e-05, 4.982902e-03
2.140000000000e-05, 4.140205e-03
2.144000000000e-05, 2.491451e-03
2.148000000000e-05, 1.599902e-03
2.152000000000e-05, 1.538837e-03
2.156000000000e-05, 2.576942e-03
2.160000000000e-05, 3.407426e-03
2.164000000000e-05, 3.529556e-03
2.168000000000e-05, 3.163166e-03
2.172000000000e-05, 2.699072e-03
2.176000000000e-05, 2.564729e-03
2.180000000000e-05, 2.711285e-03
2.184000000000e-05, 3.004397e-03
2.188000000000e-05, 3.102101e-03
2.192000000000e-05, 2.918906e-03
2.196000000000e-05, 2.808989e-03
2.200000000000e-05, 2.552516e-03
2.204000000000e-05, 2.674646e-03
2.208000000000e-05, 3.065462e-03
2.212000000000e-05, 3.492917e-03
2.216000000000e-05, 3.529556e-03
2.220000000000e-05, 3.199805e-03
2.224000000000e-05, 2.442599e-03
2.228000000000e-05, 2.247191e-03
2.232000000000e-05, 2.308256e-03
2.236000000000e-05, 2.772350e-03
2.240000000000e-05, 3.041036e-03
2.244000000000e-05, 2.906693e-03
2.248000000000e-05, 2.870054e-03
2.252000000000e-05, 3.212018e-03
2.256000000000e-05, 3.236444e-03
2.260000000000e-05, 3.260870e-03
2.264000000000e-05, 2.857841e-03
2.268000000000e-05, 2.405960e-03
2.272000000000e-05, 2.051783e-03
2.276000000000e-05, 2.027357e-03
2.280000000000e-05, 2.491451e-03
2.284000000000e-05, 3.089888e-03
2.288000000000e-05, 3.468491e-03
2.292000000000e-05, 3.615047e-03
2.296000000000e-05, 3.248657e-03
2.300000000000e-05, 2.576942e-03
2.304000000000e-05, 2.076209e-03
