% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 170.6 us, time offset -64.20 us, Normal acquisition mode, 60 averages
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2023-09-28 T 10:19:38 -0400
% Gros cylyndres alu
% Time (s), Channel A (Input 1) (V)
-2.110400000000e-05, 3.602834e-03
-2.092800000000e-05, 2.890409e-03
-2.075200000000e-05, 3.989578e-03
-2.057600000000e-05, 3.216089e-03
-2.040000000000e-05, 3.867448e-03
-2.022400000000e-05, 3.338219e-03
-2.004800000000e-05, 3.887803e-03
-1.987200000000e-05, 3.378929e-03
-1.969600000000e-05, 3.521414e-03
-1.952000000000e-05, 3.317864e-03
-1.934400000000e-05, 3.704609e-03
-1.916800000000e-05, 3.317864e-03
-1.899200000000e-05, 3.806384e-03
-1.881600000000e-05, 3.256799e-03
-1.864000000000e-05, 3.521414e-03
-1.846400000000e-05, 3.216089e-03
-1.828800000000e-05, 3.582479e-03
-1.811200000000e-05, 3.216089e-03
-1.793600000000e-05, 3.806384e-03
-1.776000000000e-05, 2.768279e-03
-1.758400000000e-05, 3.826738e-03
-1.740800000000e-05, 3.114314e-03
-1.723200000000e-05, 3.786029e-03
-1.705600000000e-05, 3.073604e-03
-1.688000000000e-05, 3.338219e-03
-1.670400000000e-05, 3.602834e-03
-1.652800000000e-05, 3.155024e-03
-1.635200000000e-05, 3.602834e-03
-1.617600000000e-05, 3.439994e-03
-1.600000000000e-05, 3.134669e-03
-1.582400000000e-05, 3.643544e-03
-1.564800000000e-05, 3.602834e-03
-1.547200000000e-05, 3.134669e-03
-1.529600000000e-05, 3.419639e-03
-1.512000000000e-05, 3.419639e-03
-1.494400000000e-05, 3.093959e-03
-1.476800000000e-05, 3.663899e-03
-1.459200000000e-05, 2.992184e-03
-1.441600000000e-05, 3.765674e-03
-1.424000000000e-05, 3.338219e-03
-1.406400000000e-05, 3.521414e-03
-1.388800000000e-05, 3.114314e-03
-1.371200000000e-05, 3.460349e-03
-1.353600000000e-05, 3.317864e-03
-1.336000000000e-05, 3.358574e-03
-1.318400000000e-05, 3.297509e-03
-1.300800000000e-05, 3.317864e-03
-1.283200000000e-05, 3.297509e-03
-1.265600000000e-05, 3.378929e-03
-1.248000000000e-05, 3.745319e-03
-1.230400000000e-05, 3.134669e-03
-1.212800000000e-05, 3.521414e-03
-1.195200000000e-05, 3.378929e-03
-1.177600000000e-05, 3.297509e-03
-1.160000000000e-05, 3.358574e-03
-1.142400000000e-05, 3.358574e-03
-1.124800000000e-05, 3.195734e-03
-1.107200000000e-05, 3.378929e-03
-1.089600000000e-05, 3.378929e-03
-1.072000000000e-05, 3.236444e-03
-1.054400000000e-05, 3.216089e-03
-1.036800000000e-05, 3.501059e-03
-1.019200000000e-05, 3.093959e-03
-1.001600000000e-05, 3.602834e-03
-9.840000000000e-06, 3.053249e-03
-9.664000000000e-06, 3.541769e-03
-9.488000000000e-06, 3.338219e-03
-9.312000000000e-06, 3.216089e-03
-9.136000000000e-06, 3.419639e-03
-8.960000000000e-06, 3.277154e-03
-8.784000000000e-06, 3.480704e-03
-8.608000000000e-06, 3.236444e-03
-8.432000000000e-06, 3.195734e-03
-8.256000000000e-06, 3.724964e-03
-8.080000000000e-06, 3.114314e-03
-7.904000000000e-06, 3.562124e-03
-7.728000000000e-06, 3.195734e-03
-7.552000000000e-06, 3.480704e-03
-7.376000000000e-06, 3.419639e-03
-7.200000000000e-06, 3.317864e-03
-7.024000000000e-06, 3.439994e-03
-6.848000000000e-06, 2.951474e-03
-6.672000000000e-06, 3.745319e-03
-6.496000000000e-06, 3.073604e-03
-6.320000000000e-06, 3.236444e-03
-6.144000000000e-06, 3.623189e-03
-5.968000000000e-06, 2.971829e-03
-5.792000000000e-06, 3.399284e-03
-5.616000000000e-06, 3.338219e-03
-5.440000000000e-06, 3.399284e-03
-5.264000000000e-06, 3.297509e-03
-5.088000000000e-06, 3.460349e-03
-4.912000000000e-06, 3.521414e-03
-4.736000000000e-06, 3.236444e-03
-4.560000000000e-06, 3.684254e-03
-4.384000000000e-06, 3.134669e-03
