% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 165.6 us, time offset -100.6 us, Normal acquisition mode, 100 averages
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2023-09-28 T 10:21:41 -0400
% Gros cylyndres alu
% Time (s), Channel A (Input 1) (V)
1.779200000000e-05, 2.430386e-03
1.796800000000e-05, 2.723498e-03
1.814400000000e-05, 2.711285e-03
1.832000000000e-05, 2.503664e-03
1.849600000000e-05, 2.979971e-03
1.867200000000e-05, 2.308256e-03
1.884800000000e-05, 3.175379e-03
1.902400000000e-05, 2.454812e-03
1.920000000000e-05, 2.870054e-03
1.937600000000e-05, 2.735711e-03
1.955200000000e-05, 2.760137e-03
1.972800000000e-05, 2.625794e-03
1.990400000000e-05, 2.735711e-03
2.008000000000e-05, 2.662433e-03
2.025600000000e-05, 2.918906e-03
2.043200000000e-05, 2.369321e-03
2.060800000000e-05, 3.077675e-03
2.078400000000e-05, 2.259404e-03
2.096000000000e-05, 2.943332e-03
2.113600000000e-05, 2.528090e-03
2.131200000000e-05, 2.955545e-03
2.148800000000e-05, 2.381534e-03
2.166400000000e-05, 2.882267e-03
2.184000000000e-05, 2.467025e-03
2.201600000000e-05, 2.857841e-03
2.219200000000e-05, 2.735711e-03
2.236800000000e-05, 2.564729e-03
2.254400000000e-05, 2.943332e-03
2.272000000000e-05, 2.320469e-03
2.289600000000e-05, 3.224231e-03
2.307200000000e-05, 2.418173e-03
2.324800000000e-05, 2.308256e-03
2.342400000000e-05, 3.932584e-03
2.360000000000e-05, -4.033952e-02
2.377600000000e-05, 1.762946e-01
2.395200000000e-05, -1.446751e-01
2.412800000000e-05, 2.055569e-01
2.430400000000e-05, -2.521861e-01
2.448000000000e-05, 2.192355e-01
2.465600000000e-05, -1.484978e-01
2.483200000000e-05, 8.462384e-02
2.500800000000e-05, -4.004641e-02
2.518400000000e-05, 2.634343e-02
2.536000000000e-05, -9.562775e-03
2.553600000000e-05, 9.098681e-03
2.571200000000e-05, -1.062531e-03
2.588800000000e-05, 4.469956e-03
2.606400000000e-05, 9.404006e-04
2.624000000000e-05, 4.103566e-03
2.641600000000e-05, 2.296043e-03
2.659200000000e-05, 2.405960e-03
2.676800000000e-05, 3.615047e-03
2.694400000000e-05, 1.990718e-03
2.712000000000e-05, 2.845628e-03
2.729600000000e-05, 2.760137e-03
2.747200000000e-05, 2.173913e-03
2.764800000000e-05, 2.747924e-03
2.782400000000e-05, 2.222765e-03
2.800000000000e-05, 2.662433e-03
2.817600000000e-05, 2.674646e-03
2.835200000000e-05, 2.735711e-03
2.852800000000e-05, 2.625794e-03
2.870400000000e-05, 2.833415e-03
2.888000000000e-05, 2.259404e-03
2.905600000000e-05, 2.796776e-03
2.923200000000e-05, 2.552516e-03
2.940800000000e-05, 2.613581e-03
2.958400000000e-05, 2.576942e-03
2.976000000000e-05, 2.528090e-03
2.993600000000e-05, 2.222765e-03
3.011200000000e-05, 3.041036e-03
3.028800000000e-05, 1.990718e-03
3.046400000000e-05, 3.126527e-03
3.064000000000e-05, 2.051783e-03
3.081600000000e-05, 3.041036e-03
3.099200000000e-05, 2.418173e-03
3.116800000000e-05, 2.515877e-03
3.134400000000e-05, 2.576942e-03
3.152000000000e-05, 2.418173e-03
3.169600000000e-05, 2.320469e-03
3.187200000000e-05, 2.833415e-03
3.204800000000e-05, 2.271617e-03
3.222400000000e-05, 2.540303e-03
3.240000000000e-05, 2.686859e-03
3.257600000000e-05, 2.271617e-03
3.275200000000e-05, 3.236444e-03
3.292800000000e-05, 2.112848e-03
3.310400000000e-05, 3.224231e-03
3.328000000000e-05, 2.638007e-03
3.345600000000e-05, 3.273083e-03
3.363200000000e-05, 2.699072e-03
3.380800000000e-05, 2.955545e-03
3.398400000000e-05, 2.613581e-03
3.416000000000e-05, 3.236444e-03
3.433600000000e-05, 2.320469e-03
3.451200000000e-05, 2.967758e-03
3.468800000000e-05, 2.906693e-03
3.486400000000e-05, 2.564729e-03
3.504000000000e-05, 2.931119e-03
3.521600000000e-05, 2.833415e-03
3.539200000000e-05, 2.772350e-03
3.556800000000e-05, 2.650220e-03
3.574400000000e-05, 2.833415e-03
3.592000000000e-05, 2.760137e-03
3.609600000000e-05, 2.625794e-03
3.627200000000e-05, 2.882267e-03
3.644800000000e-05, 2.540303e-03
3.662400000000e-05, 2.918906e-03
3.680000000000e-05, 2.552516e-03
3.697600000000e-05, 2.674646e-03
3.715200000000e-05, 2.882267e-03
3.732800000000e-05, 2.564729e-03
3.750400000000e-05, 2.943332e-03
3.768000000000e-05, 2.576942e-03
3.785600000000e-05, 3.273083e-03
3.803200000000e-05, 2.528090e-03
3.820800000000e-05, 3.224231e-03
3.838400000000e-05, 1.856375e-03
3.856000000000e-05, 3.480704e-03
3.873600000000e-05, 1.954079e-03
3.891200000000e-05, 3.456278e-03
3.908800000000e-05, 2.564729e-03
3.926400000000e-05, 2.454812e-03
3.944000000000e-05, 2.967758e-03
3.961600000000e-05, 2.515877e-03
3.979200000000e-05, 3.041036e-03
3.996800000000e-05, 3.053249e-03
4.014400000000e-05, 2.491451e-03
4.032000000000e-05, 2.833415e-03
4.049600000000e-05, 2.711285e-03
4.067200000000e-05, 2.723498e-03
4.084800000000e-05, 2.613581e-03
4.102400000000e-05, 3.236444e-03
4.120000000000e-05, 2.515877e-03
4.137600000000e-05, 2.894480e-03
4.155200000000e-05, 2.784563e-03
4.172800000000e-05, 2.772350e-03
4.190400000000e-05, 3.004397e-03
4.208000000000e-05, 2.259404e-03
4.225600000000e-05, 3.285296e-03
4.243200000000e-05, 2.503664e-03
4.260800000000e-05, 2.882267e-03
4.278400000000e-05, 2.503664e-03
4.296000000000e-05, 3.297509e-03
4.313600000000e-05, 2.467025e-03
4.331200000000e-05, 2.882267e-03
4.348800000000e-05, 2.552516e-03
4.366400000000e-05, 2.760137e-03
4.384000000000e-05, 2.747924e-03
4.401600000000e-05, 2.760137e-03
4.419200000000e-05, 2.979971e-03
4.436800000000e-05, 2.430386e-03
4.454400000000e-05, 3.199805e-03
4.472000000000e-05, 2.711285e-03
4.489600000000e-05, 3.041036e-03
4.507200000000e-05, 2.808989e-03
4.524800000000e-05, 2.943332e-03
4.542400000000e-05, 2.467025e-03
4.560000000000e-05, 3.224231e-03
4.577600000000e-05, 2.283830e-03
4.595200000000e-05, 3.395213e-03
4.612800000000e-05, 2.283830e-03
4.630400000000e-05, 3.199805e-03
4.648000000000e-05, 2.711285e-03
4.665600000000e-05, 2.833415e-03
4.683200000000e-05, 2.650220e-03
4.700800000000e-05, 5.874451e-03
4.718400000000e-05, 2.219101e-02
4.736000000000e-05, -3.899609e-02
4.753600000000e-05, 5.361505e-02
4.771200000000e-05, -5.228383e-02
4.788800000000e-05, 4.003420e-02
4.806400000000e-05, -1.207865e-02
4.824000000000e-05, 5.776747e-03
4.841600000000e-05, 6.155350e-03
4.859200000000e-05, -3.334148e-03
4.876800000000e-05, 6.082072e-03
4.894400000000e-05, 1.441133e-03
4.912000000000e-05, 3.236444e-03
4.929600000000e-05, 2.955545e-03
4.947200000000e-05, 2.381534e-03
4.964800000000e-05, 2.845628e-03
4.982400000000e-05, 3.089888e-03
5.000000000000e-05, 2.381534e-03
5.017600000000e-05, 3.541769e-03
5.035200000000e-05, 2.173913e-03
5.052800000000e-05, 2.760137e-03
5.070400000000e-05, 2.808989e-03
5.088000000000e-05, 2.576942e-03
5.105600000000e-05, 3.297509e-03
5.123200000000e-05, 2.393747e-03
5.140800000000e-05, 3.016610e-03
5.158400000000e-05, 2.125061e-03
5.176000000000e-05, 5.850025e-03
5.193600000000e-05, -3.175379e-04
5.211200000000e-05, 3.761603e-03
5.228800000000e-05, 3.615047e-03
5.246400000000e-05, 1.599902e-03
5.264000000000e-05, 3.590621e-03
5.281600000000e-05, 2.625794e-03
5.299200000000e-05, 3.285296e-03
5.316800000000e-05, 2.491451e-03
5.334400000000e-05, 2.955545e-03
5.352000000000e-05, 3.089888e-03
5.369600000000e-05, 2.589155e-03
5.387200000000e-05, 2.845628e-03
5.404800000000e-05, 3.383000e-03
5.422400000000e-05, 2.344895e-03
5.440000000000e-05, 3.077675e-03
5.457600000000e-05, 2.992184e-03
5.475200000000e-05, 2.735711e-03
5.492800000000e-05, 2.808989e-03
5.510400000000e-05, 3.212018e-03
5.528000000000e-05, 2.467025e-03
5.545600000000e-05, 3.578408e-03
5.563200000000e-05, 2.198339e-03
5.580800000000e-05, 3.798242e-03
5.598400000000e-05, 1.954079e-03
5.616000000000e-05, 3.651686e-03
5.633600000000e-05, 2.234978e-03
5.651200000000e-05, 3.517343e-03
5.668800000000e-05, 2.821202e-03
5.686400000000e-05, 2.833415e-03
5.704000000000e-05, 3.004397e-03
5.721600000000e-05, 3.285296e-03
5.739200000000e-05, 2.369321e-03
5.756800000000e-05, 3.920371e-03
5.774400000000e-05, 2.186126e-03
5.792000000000e-05, 3.321935e-03
5.809600000000e-05, 3.028823e-03
5.827200000000e-05, 2.821202e-03
5.844800000000e-05, 2.943332e-03
