% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 106.6 us, time offset -49.47 us, Normal acquisition mode, 100 averages
% Edge trigger: Channel A, level 1.000 V, Auto mode, Both edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2023-09-28 T 11:01:11 -0400
% Time (s), Channel A (Input 1) (V)
-3.824000000000e-06, 3.297509e-03
-3.712000000000e-06, 3.028823e-03
-3.600000000000e-06, 3.114314e-03
-3.488000000000e-06, 3.114314e-03
-3.376000000000e-06, 3.212018e-03
-3.264000000000e-06, 3.138740e-03
-3.152000000000e-06, 3.273083e-03
-3.040000000000e-06, 3.346361e-03
-2.928000000000e-06, 3.297509e-03
-2.816000000000e-06, 3.370787e-03
-2.704000000000e-06, 3.212018e-03
-2.592000000000e-06, 3.297509e-03
-2.480000000000e-06, 3.260870e-03
-2.368000000000e-06, 3.248657e-03
-2.256000000000e-06, 3.309722e-03
-2.144000000000e-06, 3.297509e-03
-2.032000000000e-06, 3.309722e-03
-1.920000000000e-06, 3.285296e-03
-1.808000000000e-06, 3.126527e-03
-1.696000000000e-06, 3.150953e-03
-1.584000000000e-06, 3.309722e-03
-1.472000000000e-06, 3.248657e-03
-1.360000000000e-06, 3.370787e-03
-1.248000000000e-06, 3.285296e-03
-1.136000000000e-06, 3.077675e-03
-1.024000000000e-06, 3.102101e-03
-9.120000000000e-07, 3.077675e-03
-8.000000000000e-07, 3.236444e-03
-6.880000000000e-07, 3.077675e-03
-5.760000000000e-07, 3.334148e-03
-4.640000000000e-07, 1.282364e-03
-3.520000000000e-07, 3.505130e-03
-2.400000000000e-07, 2.601368e-03
-1.280000000000e-07, -1.413960e+00
-1.600000000000e-08, 2.213471e+00
9.600000000000e-08, 2.046825e+00
2.080000000000e-07, -2.757975e+00
3.200000000000e-07, 8.518808e-01
4.320000000000e-07, 1.209087e+00
5.440000000000e-07, -2.031558e+00
6.560000000000e-07, 1.349499e+00
7.680000000000e-07, -1.952492e-01
8.800000000000e-07, -5.368955e-01
9.920000000000e-07, 5.492062e-01
1.104000000000e-06, -7.967758e-02
1.216000000000e-06, -9.601857e-02
1.328000000000e-06, 1.029311e-01
1.440000000000e-06, -2.296043e-02
1.552000000000e-06, -1.885686e-02
1.664000000000e-06, 2.143381e-02
1.776000000000e-06, -1.453346e-03
1.888000000000e-06, 7.608696e-03
2.000000000000e-06, 9.770396e-05
2.112000000000e-06, 4.555447e-03
2.224000000000e-06, 5.813386e-03
2.336000000000e-06, 1.050318e-03
2.448000000000e-06, 3.431852e-03
2.560000000000e-06, 4.347826e-03
2.672000000000e-06, 1.795310e-03
2.784000000000e-06, 3.908158e-03
2.896000000000e-06, 3.212018e-03
3.008000000000e-06, 1.880801e-03
3.120000000000e-06, 4.189057e-03
3.232000000000e-06, 2.699072e-03
3.344000000000e-06, 1.819736e-03
3.456000000000e-06, 3.663899e-03
3.568000000000e-06, 2.894480e-03
3.680000000000e-06, 2.210552e-03
3.792000000000e-06, 3.602834e-03
3.904000000000e-06, 2.638007e-03
4.016000000000e-06, 2.467025e-03
4.128000000000e-06, 3.492917e-03
4.240000000000e-06, 2.540303e-03
4.352000000000e-06, 2.564729e-03
4.464000000000e-06, 3.358574e-03
4.576000000000e-06, 2.589155e-03
4.688000000000e-06, 2.589155e-03
4.800000000000e-06, 2.833415e-03
4.912000000000e-06, 2.515877e-03
5.024000000000e-06, 2.796776e-03
5.136000000000e-06, 2.979971e-03
5.248000000000e-06, 2.418173e-03
5.360000000000e-06, 2.845628e-03
5.472000000000e-06, 2.931119e-03
5.584000000000e-06, 2.552516e-03
5.696000000000e-06, 2.870054e-03
5.808000000000e-06, 3.077675e-03
5.920000000000e-06, 2.638007e-03
6.032000000000e-06, 2.760137e-03
6.144000000000e-06, 2.833415e-03
6.256000000000e-06, 2.625794e-03
6.368000000000e-06, 2.576942e-03
6.480000000000e-06, 2.857841e-03
6.592000000000e-06, 2.735711e-03
6.704000000000e-06, 2.772350e-03
6.816000000000e-06, 2.845628e-03
6.928000000000e-06, 2.735711e-03
7.040000000000e-06, 2.735711e-03
7.152000000000e-06, 2.845628e-03
7.264000000000e-06, 2.711285e-03
7.376000000000e-06, 2.821202e-03
7.488000000000e-06, 2.735711e-03
7.600000000000e-06, 2.711285e-03
7.712000000000e-06, 2.699072e-03
7.824000000000e-06, 2.760137e-03
7.936000000000e-06, 2.589155e-03
8.048000000000e-06, 2.613581e-03
8.160000000000e-06, 2.552516e-03
8.272000000000e-06, 2.662433e-03
8.384000000000e-06, 2.686859e-03
8.496000000000e-06, 2.674646e-03
8.608000000000e-06, 2.760137e-03
8.720000000000e-06, 2.650220e-03
8.832000000000e-06, 2.589155e-03
8.944000000000e-06, 2.747924e-03
9.056000000000e-06, 2.650220e-03
9.168000000000e-06, 2.662433e-03
9.280000000000e-06, 2.772350e-03
9.392000000000e-06, 2.674646e-03
9.504000000000e-06, 2.638007e-03
9.616000000000e-06, 2.638007e-03
9.728000000000e-06, 2.625794e-03
9.840000000000e-06, 2.613581e-03
9.952000000000e-06, 2.625794e-03
1.006400000000e-05, 2.686859e-03
1.017600000000e-05, 2.564729e-03
1.028800000000e-05, 2.723498e-03
1.040000000000e-05, 2.686859e-03
1.051200000000e-05, 2.747924e-03
1.062400000000e-05, 2.747924e-03
1.073600000000e-05, 2.711285e-03
1.084800000000e-05, 2.662433e-03
1.096000000000e-05, 2.772350e-03
1.107200000000e-05, 2.747924e-03
1.118400000000e-05, 2.601368e-03
1.129600000000e-05, 2.625794e-03
1.140800000000e-05, 2.552516e-03
1.152000000000e-05, 2.625794e-03
1.163200000000e-05, 2.454812e-03
1.174400000000e-05, 2.491451e-03
1.185600000000e-05, 2.747924e-03
1.196800000000e-05, 2.589155e-03
1.208000000000e-05, 2.772350e-03
1.219200000000e-05, 2.686859e-03
1.230400000000e-05, 2.808989e-03
1.241600000000e-05, 2.662433e-03
1.252800000000e-05, 2.711285e-03
1.264000000000e-05, 2.650220e-03
1.275200000000e-05, 2.625794e-03
1.286400000000e-05, 2.662433e-03
1.297600000000e-05, 2.686859e-03
1.308800000000e-05, 2.674646e-03
1.320000000000e-05, 2.601368e-03
1.331200000000e-05, 2.576942e-03
1.342400000000e-05, 2.576942e-03
1.353600000000e-05, 2.528090e-03
1.364800000000e-05, 2.613581e-03
1.376000000000e-05, 2.601368e-03
1.387200000000e-05, 2.576942e-03
1.398400000000e-05, 2.540303e-03
1.409600000000e-05, 2.638007e-03
1.420800000000e-05, 2.601368e-03
1.432000000000e-05, 2.528090e-03
1.443200000000e-05, 2.699072e-03
1.454400000000e-05, 2.589155e-03
1.465600000000e-05, 2.760137e-03
1.476800000000e-05, 2.735711e-03
1.488000000000e-05, 2.625794e-03
1.499200000000e-05, 2.576942e-03
1.510400000000e-05, 2.638007e-03
1.521600000000e-05, 2.528090e-03
1.532800000000e-05, 2.528090e-03
1.544000000000e-05, 2.540303e-03
1.555200000000e-05, 2.479238e-03
1.566400000000e-05, 2.515877e-03
1.577600000000e-05, 2.686859e-03
1.588800000000e-05, 2.552516e-03
1.600000000000e-05, 2.638007e-03
1.611200000000e-05, 2.454812e-03
1.622400000000e-05, 2.699072e-03
1.633600000000e-05, 2.564729e-03
1.644800000000e-05, 2.515877e-03
1.656000000000e-05, 2.613581e-03
1.667200000000e-05, 2.552516e-03
1.678400000000e-05, 2.625794e-03
1.689600000000e-05, 2.638007e-03
1.700800000000e-05, 2.601368e-03
1.712000000000e-05, 2.552516e-03
1.723200000000e-05, 2.491451e-03
1.734400000000e-05, 2.491451e-03
1.745600000000e-05, 2.576942e-03
1.756800000000e-05, 2.393747e-03
1.768000000000e-05, 2.589155e-03
1.779200000000e-05, 2.515877e-03
1.790400000000e-05, 2.540303e-03
1.801600000000e-05, 2.442599e-03
1.812800000000e-05, 2.418173e-03
1.824000000000e-05, 2.650220e-03
1.835200000000e-05, 2.540303e-03
1.846400000000e-05, 2.564729e-03
1.857600000000e-05, 2.515877e-03
1.868800000000e-05, 2.467025e-03
1.880000000000e-05, 2.479238e-03
1.891200000000e-05, 2.442599e-03
1.902400000000e-05, 2.503664e-03
1.913600000000e-05, 2.552516e-03
1.924800000000e-05, 2.479238e-03
1.936000000000e-05, 2.503664e-03
1.947200000000e-05, 2.467025e-03
1.958400000000e-05, 2.479238e-03
1.969600000000e-05, 2.613581e-03
1.980800000000e-05, 2.515877e-03
1.992000000000e-05, 2.528090e-03
2.003200000000e-05, 2.576942e-03
2.014400000000e-05, 2.589155e-03
2.025600000000e-05, 2.552516e-03
2.036800000000e-05, 2.528090e-03
2.048000000000e-05, 2.503664e-03
2.059200000000e-05, 2.393747e-03
2.070400000000e-05, 2.564729e-03
2.081600000000e-05, 2.442599e-03
2.092800000000e-05, 2.515877e-03
2.104000000000e-05, 2.491451e-03
2.115200000000e-05, 2.515877e-03
2.126400000000e-05, 2.674646e-03
2.137600000000e-05, 2.430386e-03
2.148800000000e-05, 2.528090e-03
2.160000000000e-05, 2.625794e-03
2.171200000000e-05, 2.491451e-03
2.182400000000e-05, 2.503664e-03
2.193600000000e-05, 2.405960e-03
2.204800000000e-05, 2.479238e-03
2.216000000000e-05, 2.430386e-03
2.227200000000e-05, 2.503664e-03
2.238400000000e-05, 2.442599e-03
2.249600000000e-05, 2.454812e-03
2.260800000000e-05, 2.540303e-03
2.272000000000e-05, 2.638007e-03
2.283200000000e-05, 2.613581e-03
2.294400000000e-05, 2.540303e-03
2.305600000000e-05, 2.479238e-03
2.316800000000e-05, 2.564729e-03
2.328000000000e-05, 2.576942e-03
2.339200000000e-05, 2.540303e-03
2.350400000000e-05, 2.491451e-03
2.361600000000e-05, 2.454812e-03
2.372800000000e-05, 2.405960e-03
2.384000000000e-05, 2.601368e-03
2.395200000000e-05, 2.332682e-03
2.406400000000e-05, 2.405960e-03
2.417600000000e-05, 2.454812e-03
2.428800000000e-05, 2.540303e-03
2.440000000000e-05, 2.430386e-03
2.451200000000e-05, 2.381534e-03
2.462400000000e-05, 2.393747e-03
2.473600000000e-05, 2.479238e-03
2.484800000000e-05, 2.467025e-03
2.496000000000e-05, 2.442599e-03
2.507200000000e-05, 2.479238e-03
2.518400000000e-05, 2.430386e-03
2.529600000000e-05, 2.576942e-03
2.540800000000e-05, 2.442599e-03
2.552000000000e-05, 2.479238e-03
2.563200000000e-05, 2.515877e-03
2.574400000000e-05, 2.405960e-03
2.585600000000e-05, 2.369321e-03
2.596800000000e-05, 2.515877e-03
2.608000000000e-05, 2.540303e-03
2.619200000000e-05, 2.357108e-03
2.630400000000e-05, 2.381534e-03
2.641600000000e-05, 2.405960e-03
2.652800000000e-05, 2.418173e-03
2.664000000000e-05, 2.430386e-03
2.675200000000e-05, 2.528090e-03
2.686400000000e-05, 2.442599e-03
2.697600000000e-05, 2.540303e-03
2.708800000000e-05, 2.540303e-03
2.720000000000e-05, 2.503664e-03
2.731200000000e-05, 2.479238e-03
2.742400000000e-05, 2.515877e-03
2.753600000000e-05, 2.418173e-03
2.764800000000e-05, 2.491451e-03
2.776000000000e-05, 2.283830e-03
2.787200000000e-05, 2.381534e-03
2.798400000000e-05, 2.308256e-03
2.809600000000e-05, 2.308256e-03
2.820800000000e-05, 2.479238e-03
2.832000000000e-05, 2.491451e-03
2.843200000000e-05, 2.503664e-03
2.854400000000e-05, 2.528090e-03
2.865600000000e-05, 2.454812e-03
2.876800000000e-05, 2.564729e-03
2.888000000000e-05, 2.442599e-03
2.899200000000e-05, 2.564729e-03
2.910400000000e-05, 2.332682e-03
2.921600000000e-05, 2.564729e-03
2.932800000000e-05, 2.369321e-03
2.944000000000e-05, 2.430386e-03
2.955200000000e-05, 2.320469e-03
2.966400000000e-05, 2.454812e-03
2.977600000000e-05, 2.430386e-03
2.988800000000e-05, 2.479238e-03
3.000000000000e-05, 2.515877e-03
3.011200000000e-05, 2.442599e-03
3.022400000000e-05, 2.320469e-03
3.033600000000e-05, 2.369321e-03
3.044800000000e-05, 2.442599e-03
3.056000000000e-05, 2.369321e-03
3.067200000000e-05, 2.320469e-03
3.078400000000e-05, 2.650220e-03
3.089600000000e-05, 2.418173e-03
3.100800000000e-05, 2.332682e-03
3.112000000000e-05, 2.540303e-03
3.123200000000e-05, 2.357108e-03
3.134400000000e-05, 2.320469e-03
3.145600000000e-05, 2.381534e-03
3.156800000000e-05, 2.491451e-03
3.168000000000e-05, 2.430386e-03
3.179200000000e-05, 2.528090e-03
3.190400000000e-05, 2.442599e-03
3.201600000000e-05, 2.528090e-03
3.212800000000e-05, 2.503664e-03
3.224000000000e-05, 2.430386e-03
3.235200000000e-05, 2.467025e-03
3.246400000000e-05, 2.442599e-03
3.257600000000e-05, 2.564729e-03
3.268800000000e-05, 2.601368e-03
3.280000000000e-05, 2.503664e-03
