% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 320.1 us, time offset -128.8 us, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2023-09-28 T 10:16:36 -0400
% Moyen cylyndres alu, zoom_second_pulse
% Time (s), Channel A (Input 1) (V)
-3.126400000000e-05, 9.770396e-02
-3.094400000000e-05, 7.083537e-02
-3.062400000000e-05, 3.053249e-02
-3.030400000000e-05, 2.198339e-02
-2.998400000000e-05, 3.663899e-03
-2.966400000000e-05, 1.221300e-03
-2.934400000000e-05, 0.000000e+00
-2.902400000000e-05, 0.000000e+00
-2.870400000000e-05, 1.221300e-03
-2.838400000000e-05, 1.221300e-03
-2.806400000000e-05, 1.221300e-03
-2.774400000000e-05, 1.221300e-03
-2.742400000000e-05, 1.221300e-03
-2.710400000000e-05, 1.221300e-03
-2.678400000000e-05, 1.221300e-03
-2.646400000000e-05, 1.221300e-03
-2.614400000000e-05, 1.221300e-03
-2.582400000000e-05, 1.221300e-03
-2.550400000000e-05, 1.221300e-03
-2.518400000000e-05, 2.442599e-03
-2.486400000000e-05, 2.442599e-03
-2.454400000000e-05, 1.221300e-03
-2.422400000000e-05, 2.442599e-03
-2.390400000000e-05, 1.221300e-03
-2.358400000000e-05, 1.221300e-03
-2.326400000000e-05, 3.663899e-03
-2.294400000000e-05, 1.221300e-03
-2.262400000000e-05, 1.221300e-03
-2.230400000000e-05, 1.221300e-03
-2.198400000000e-05, 1.221300e-03
-2.166400000000e-05, 1.221300e-03
-2.134400000000e-05, 2.442599e-03
-2.102400000000e-05, 1.221300e-03
-2.070400000000e-05, 1.221300e-03
-2.038400000000e-05, 1.221300e-03
-2.006400000000e-05, 1.221300e-03
-1.974400000000e-05, 1.221300e-03
-1.942400000000e-05, 2.442599e-03
-1.910400000000e-05, 1.221300e-03
-1.878400000000e-05, 2.442599e-03
-1.846400000000e-05, 1.221300e-03
-1.814400000000e-05, 0.000000e+00
-1.782400000000e-05, 2.442599e-03
-1.750400000000e-05, 1.221300e-03
-1.718400000000e-05, 1.221300e-03
-1.686400000000e-05, 1.221300e-03
-1.654400000000e-05, 7.327797e-03
-1.622400000000e-05, 5.495848e-02
-1.590400000000e-05, 0.000000e+00
-1.558400000000e-05, -3.419639e-02
-1.526400000000e-05, -1.831949e-02
-1.494400000000e-05, 8.549097e-03
-1.462400000000e-05, 1.221300e-03
-1.430400000000e-05, 0.000000e+00
-1.398400000000e-05, 1.221300e-03
-1.366400000000e-05, 1.221300e-03
-1.334400000000e-05, 2.442599e-03
-1.302400000000e-05, 2.442599e-03
-1.270400000000e-05, 2.442599e-03
-1.238400000000e-05, 2.442599e-03
-1.206400000000e-05, 1.221300e-03
-1.174400000000e-05, 2.442599e-03
-1.142400000000e-05, 1.221300e-03
-1.110400000000e-05, 1.221300e-03
-1.078400000000e-05, 1.221300e-03
-1.046400000000e-05, 1.221300e-03
-1.014400000000e-05, 1.221300e-03
-9.824000000000e-06, 2.442599e-03
-9.504000000000e-06, 1.221300e-03
-9.184000000000e-06, 1.221300e-03
-8.864000000000e-06, 1.221300e-03
-8.544000000000e-06, 1.221300e-03
-8.224000000000e-06, 2.442599e-03
-7.904000000000e-06, 2.442599e-03
-7.584000000000e-06, -1.221300e-03
-7.264000000000e-06, 2.442599e-03
-6.944000000000e-06, 2.442599e-03
-6.624000000000e-06, 1.221300e-03
-6.304000000000e-06, 1.221300e-03
-5.984000000000e-06, 1.221300e-03
-5.664000000000e-06, 1.221300e-03
-5.344000000000e-06, 2.442599e-03
-5.024000000000e-06, 1.221300e-03
-4.704000000000e-06, 1.221300e-03
-4.384000000000e-06, 1.221300e-03
-4.064000000000e-06, 1.221300e-03
-3.744000000000e-06, 0.000000e+00
-3.424000000000e-06, 0.000000e+00
-3.104000000000e-06, 2.442599e-03
-2.784000000000e-06, 1.221300e-03
-2.464000000000e-06, 1.221300e-03
-2.144000000000e-06, 1.221300e-03
-1.824000000000e-06, 0.000000e+00
-1.504000000000e-06, 1.221300e-03
-1.184000000000e-06, 0.000000e+00
-8.640000000000e-07, -2.442599e-03
-5.440000000000e-07, -1.587689e-02
-2.240000000000e-07, 0.000000e+00
9.599999999999e-08, -1.221300e-03
4.160000000000e-07, -1.221300e-03
7.360000000000e-07, 0.000000e+00
1.056000000000e-06, 0.000000e+00
1.376000000000e-06, 1.221300e-03
1.696000000000e-06, 0.000000e+00
2.016000000000e-06, 1.221300e-03
2.336000000000e-06, 1.221300e-03
2.656000000000e-06, 1.221300e-03
2.976000000000e-06, 2.442599e-03
3.296000000000e-06, 2.442599e-03
3.616000000000e-06, 1.221300e-03
3.936000000000e-06, 0.000000e+00
4.256000000000e-06, 1.221300e-03
4.576000000000e-06, 2.442599e-03
4.896000000000e-06, 2.442599e-03
5.216000000000e-06, 1.221300e-03
5.536000000000e-06, 2.442599e-03
5.856000000000e-06, 2.442599e-03
6.176000000000e-06, 1.221300e-03
6.496000000000e-06, 1.221300e-03
6.816000000000e-06, 2.442599e-03
7.136000000000e-06, 3.663899e-03
7.456000000000e-06, 0.000000e+00
7.776000000000e-06, 0.000000e+00
8.096000000000e-06, 1.221300e-03
8.416000000000e-06, 2.442599e-03
8.736000000000e-06, 1.221300e-03
9.056000000000e-06, 1.221300e-03
9.376000000000e-06, 2.442599e-03
9.696000000000e-06, 1.221300e-03
1.001600000000e-05, 1.221300e-03
1.033600000000e-05, 1.221300e-03
1.065600000000e-05, 2.442599e-03
1.097600000000e-05, 2.442599e-03
1.129600000000e-05, 2.442599e-03
1.161600000000e-05, 1.221300e-03
1.193600000000e-05, 2.442599e-03
1.225600000000e-05, 2.442599e-03
1.257600000000e-05, 0.000000e+00
1.289600000000e-05, 2.442599e-03
1.321600000000e-05, 2.442599e-03
1.353600000000e-05, 1.221300e-03
1.385600000000e-05, 6.106498e-03
1.417600000000e-05, -1.221300e-03
1.449600000000e-05, 0.000000e+00
1.481600000000e-05, 2.442599e-03
1.513600000000e-05, 3.663899e-03
1.545600000000e-05, 7.327797e-03
1.577600000000e-05, 1.099170e-02
1.609600000000e-05, 0.000000e+00
1.641600000000e-05, 3.663899e-03
1.673600000000e-05, 1.221300e-03
1.705600000000e-05, 2.442599e-03
1.737600000000e-05, 2.442599e-03
1.769600000000e-05, 2.442599e-03
