% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 65.20 us, time offset -29.29 us, Normal acquisition mode, 51 averages
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2023-09-28 T 10:12:19 -0400
% Petits cylyndres alu, train_complet
% Time (s), Channel A (Input 1) (V)
-3.312000000000e-06, 1.999579e-02
-3.248000000000e-06, 1.999579e-02
-3.184000000000e-06, 1.963658e-02
-3.120000000000e-06, 1.987605e-02
-3.056000000000e-06, 1.987605e-02
-2.992000000000e-06, 1.987605e-02
-2.928000000000e-06, 1.975631e-02
-2.864000000000e-06, 1.975631e-02
-2.800000000000e-06, 2.059446e-02
-2.736000000000e-06, 2.071420e-02
-2.672000000000e-06, 1.999579e-02
-2.608000000000e-06, 1.999579e-02
-2.544000000000e-06, 1.975631e-02
-2.480000000000e-06, 1.999579e-02
-2.416000000000e-06, 1.975631e-02
-2.352000000000e-06, 1.987605e-02
-2.288000000000e-06, 1.939711e-02
-2.224000000000e-06, 2.023526e-02
-2.160000000000e-06, 1.999579e-02
-2.096000000000e-06, 1.927737e-02
-2.032000000000e-06, 1.891817e-02
-1.968000000000e-06, 1.951684e-02
-1.904000000000e-06, 2.011552e-02
-1.840000000000e-06, 1.999579e-02
-1.776000000000e-06, 1.879843e-02
-1.712000000000e-06, 1.951684e-02
-1.648000000000e-06, 1.963658e-02
-1.584000000000e-06, 1.939711e-02
-1.520000000000e-06, 1.939711e-02
-1.456000000000e-06, 1.939711e-02
-1.392000000000e-06, 2.023526e-02
-1.328000000000e-06, 1.939711e-02
-1.264000000000e-06, 1.927737e-02
-1.200000000000e-06, 1.951684e-02
-1.136000000000e-06, 1.963658e-02
-1.072000000000e-06, 1.903790e-02
-1.008000000000e-06, 1.963658e-02
-9.440000000000e-07, 2.047473e-02
-8.800000000000e-07, 1.963658e-02
-8.160000000000e-07, 1.879843e-02
-7.520000000000e-07, 1.963658e-02
-6.880000000000e-07, 2.071420e-02
-6.240000000000e-07, 1.975631e-02
-5.600000000000e-07, 2.011552e-02
-4.960000000000e-07, 1.879843e-02
-4.320000000000e-07, 1.975631e-02
-3.680000000000e-07, 1.951684e-02
-3.040000000000e-07, 1.939711e-02
-2.400000000000e-07, 1.831949e-02
-1.760000000000e-07, 2.035499e-02
-1.120000000000e-07, -2.298917e-02
-4.800000000000e-08, 2.747445e+00
1.600000000000e-08, 7.004272e+00
8.000000000000e-08, 4.509588e+00
1.440000000000e-07, 1.881400e+00
2.080000000000e-07, -2.237732e+00
2.720000000000e-07, -3.737655e+00
3.360000000000e-07, 2.045557e+00
4.000000000000e-07, 3.342888e+00
4.640000000000e-07, 1.855896e+00
5.280000000000e-07, -1.887746e+00
5.920000000000e-07, -1.736400e+00
6.560000000000e-07, 1.242014e+00
7.200000000000e-07, 1.319482e+00
7.840000000000e-07, -3.926119e-01
8.480000000000e-07, -1.009967e+00
9.120000000000e-07, -1.256023e-01
9.760000000000e-07, 6.694397e-01
1.040000000000e-06, 4.864843e-01
1.104000000000e-06, -2.407876e-01
1.168000000000e-06, -3.844699e-01
1.232000000000e-06, 2.119314e-02
1.296000000000e-06, 2.884422e-01
1.360000000000e-06, 1.402100e-01
1.424000000000e-06, -4.310469e-02
1.488000000000e-06, -1.009368e-01
1.552000000000e-06, -2.646149e-02
1.616000000000e-06, 6.896750e-02
1.680000000000e-06, 7.184114e-02
1.744000000000e-06, 1.329061e-02
1.808000000000e-06, -7.064379e-03
1.872000000000e-06, 1.496691e-02
1.936000000000e-06, 2.406678e-02
2.000000000000e-06, 2.251023e-02
2.064000000000e-06, 2.286943e-02
2.128000000000e-06, 1.855896e-02
2.192000000000e-06, 1.784055e-02
2.256000000000e-06, 2.095367e-02
2.320000000000e-06, 1.808002e-02
2.384000000000e-06, 1.484717e-02
2.448000000000e-06, 1.999579e-02
2.512000000000e-06, 2.262996e-02
2.576000000000e-06, 2.023526e-02
2.640000000000e-06, 1.772082e-02
2.704000000000e-06, 1.712214e-02
2.768000000000e-06, 1.927737e-02
2.832000000000e-06, 2.035499e-02
2.896000000000e-06, 1.939711e-02
2.960000000000e-06, 1.748135e-02
3.024000000000e-06, 1.676293e-02
3.088000000000e-06, 1.927737e-02
3.152000000000e-06, 1.927737e-02
3.216000000000e-06, 1.975631e-02
3.280000000000e-06, 1.843923e-02
3.344000000000e-06, 1.700240e-02
3.408000000000e-06, 1.915764e-02
3.472000000000e-06, 1.987605e-02
3.536000000000e-06, 1.999579e-02
3.600000000000e-06, 1.891817e-02
3.664000000000e-06, 1.796029e-02
3.728000000000e-06, 1.808002e-02
3.792000000000e-06, 1.975631e-02
3.856000000000e-06, 1.951684e-02
3.920000000000e-06, 1.867870e-02
3.984000000000e-06, 1.748135e-02
4.048000000000e-06, 1.784055e-02
4.112000000000e-06, 1.915764e-02
4.176000000000e-06, 1.951684e-02
4.240000000000e-06, 1.879843e-02
4.304000000000e-06, 1.784055e-02
4.368000000000e-06, 1.748135e-02
4.432000000000e-06, 1.879843e-02
4.496000000000e-06, 1.915764e-02
4.560000000000e-06, 1.867870e-02
4.624000000000e-06, 1.772082e-02
4.688000000000e-06, 1.843923e-02
4.752000000000e-06, 1.903790e-02
4.816000000000e-06, 1.879843e-02
4.880000000000e-06, 1.879843e-02
4.944000000000e-06, 1.831949e-02
5.008000000000e-06, 1.819976e-02
5.072000000000e-06, 1.831949e-02
5.136000000000e-06, 1.819976e-02
5.200000000000e-06, 1.760108e-02
5.264000000000e-06, 1.855896e-02
5.328000000000e-06, 1.891817e-02
5.392000000000e-06, 1.843923e-02
5.456000000000e-06, 1.903790e-02
5.520000000000e-06, 1.843923e-02
5.584000000000e-06, 1.951684e-02
5.648000000000e-06, 1.903790e-02
5.712000000000e-06, 1.879843e-02
5.776000000000e-06, 1.855896e-02
5.840000000000e-06, 1.891817e-02
5.904000000000e-06, 1.903790e-02
5.968000000000e-06, 1.831949e-02
6.032000000000e-06, 1.796029e-02
6.096000000000e-06, 1.843923e-02
6.160000000000e-06, 1.879843e-02
6.224000000000e-06, 1.927737e-02
6.288000000000e-06, 1.772082e-02
6.352000000000e-06, 1.831949e-02
6.416000000000e-06, 1.819976e-02
6.480000000000e-06, 1.891817e-02
6.544000000000e-06, 1.867870e-02
6.608000000000e-06, 1.831949e-02
6.672000000000e-06, 1.808002e-02
6.736000000000e-06, 1.831949e-02
6.800000000000e-06, 1.843923e-02
6.864000000000e-06, 1.808002e-02
6.928000000000e-06, 1.796029e-02
6.992000000000e-06, 1.915764e-02
7.056000000000e-06, 1.843923e-02
7.120000000000e-06, 1.843923e-02
7.184000000000e-06, 1.831949e-02
7.248000000000e-06, 1.831949e-02
7.312000000000e-06, 1.927737e-02
7.376000000000e-06, 1.867870e-02
7.440000000000e-06, 1.951684e-02
7.504000000000e-06, 1.867870e-02
7.568000000000e-06, 1.831949e-02
7.632000000000e-06, 1.843923e-02
7.696000000000e-06, 1.903790e-02
7.760000000000e-06, 1.903790e-02
7.824000000000e-06, 1.927737e-02
7.888000000000e-06, 2.227075e-02
7.952000000000e-06, 4.849277e-02
8.016000000000e-06, 3.496269e-02
8.080000000000e-06, -1.126709e-01
8.144000000000e-06, -1.459573e-01
8.208000000000e-06, 1.990000e-01
8.272000000000e-06, 4.514019e-01
8.336000000000e-06, 1.400902e-02
8.400000000000e-06, -4.842093e-01
8.464000000000e-06, -2.597057e-01
8.528000000000e-06, 2.883225e-01
8.592000000000e-06, 4.183549e-01
8.656000000000e-06, 8.022261e-02
8.720000000000e-06, -2.496480e-01
8.784000000000e-06, -2.375547e-01
8.848000000000e-06, 5.471900e-02
8.912000000000e-06, 2.717990e-01
8.976000000000e-06, 1.436823e-01
9.040000000000e-06, -7.890552e-02
9.104000000000e-06, -1.211721e-01
9.168000000000e-06, -1.065644e-02
9.232000000000e-06, 8.261732e-02
9.296000000000e-06, 8.656858e-02
9.360000000000e-06, 3.041275e-02
9.424000000000e-06, -2.322864e-02
9.488000000000e-06, -1.963658e-02
9.552000000000e-06, 2.035499e-02
9.616000000000e-06, 4.166786e-02
9.680000000000e-06, 3.376534e-02
9.744000000000e-06, 2.035499e-02
9.808000000000e-06, 7.543320e-03
9.872000000000e-06, 5.986762e-03
9.936000000000e-06, 1.712214e-02
1.000000000000e-05, 2.765884e-02
1.006400000000e-05, 2.466546e-02
1.012800000000e-05, 1.640373e-02
1.019200000000e-05, 1.472743e-02
1.025600000000e-05, 1.628399e-02
1.032000000000e-05, 1.903790e-02
1.038400000000e-05, 1.891817e-02
1.044800000000e-05, 1.963658e-02
1.051200000000e-05, 1.951684e-02
1.057600000000e-05, 1.748135e-02
1.064000000000e-05, 1.700240e-02
1.070400000000e-05, 1.831949e-02
1.076800000000e-05, 1.963658e-02
1.083200000000e-05, 2.071420e-02
1.089600000000e-05, 1.903790e-02
1.096000000000e-05, 1.724187e-02
1.102400000000e-05, 1.712214e-02
1.108800000000e-05, 1.891817e-02
1.115200000000e-05, 1.975631e-02
1.121600000000e-05, 1.975631e-02
1.128000000000e-05, 1.831949e-02
1.134400000000e-05, 1.879843e-02
1.140800000000e-05, 1.843923e-02
1.147200000000e-05, 1.891817e-02
1.153600000000e-05, 1.891817e-02
1.160000000000e-05, 2.095367e-02
1.166400000000e-05, 1.999579e-02
1.172800000000e-05, 1.867870e-02
1.179200000000e-05, 1.640373e-02
1.185600000000e-05, 1.831949e-02
1.192000000000e-05, 1.951684e-02
1.198400000000e-05, 2.035499e-02
1.204800000000e-05, 1.831949e-02
1.211200000000e-05, 1.676293e-02
1.217600000000e-05, 1.831949e-02
1.224000000000e-05, 2.203128e-02
1.230400000000e-05, 2.035499e-02
1.236800000000e-05, 1.616426e-02
1.243200000000e-05, 1.460770e-02
