% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 69.31 us, time offset -38.26 us, Normal acquisition mode, 51 averages
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2023-09-28 T 10:13:59 -0400
% Petits cylyndres alu, train_first
% Time (s), Channel A (Input 1) (V)
3.608000000000e-06, 2.072508e-03
3.680000000000e-06, 1.739427e-03
3.752000000000e-06, 2.960726e-03
3.824000000000e-06, 3.404835e-03
3.896000000000e-06, 2.516617e-03
3.968000000000e-06, 1.850454e-03
4.040000000000e-06, 2.257554e-03
4.112000000000e-06, 3.219790e-03
4.184000000000e-06, 3.478853e-03
4.256000000000e-06, 2.442599e-03
4.328000000000e-06, 1.517372e-03
4.400000000000e-06, 2.220545e-03
4.472000000000e-06, 3.330817e-03
4.544000000000e-06, 3.626889e-03
4.616000000000e-06, 2.257554e-03
4.688000000000e-06, 1.702418e-03
4.760000000000e-06, 2.331572e-03
4.832000000000e-06, 2.997735e-03
4.904000000000e-06, 2.775681e-03
4.976000000000e-06, 2.664653e-03
5.048000000000e-06, 2.886708e-03
5.120000000000e-06, 2.516617e-03
5.192000000000e-06, 2.738672e-03
5.264000000000e-06, 2.775681e-03
5.336000000000e-06, 2.590635e-03
5.408000000000e-06, 2.812690e-03
5.480000000000e-06, 2.627644e-03
5.552000000000e-06, 2.368581e-03
5.624000000000e-06, 2.553626e-03
5.696000000000e-06, 2.553626e-03
5.768000000000e-06, 2.923717e-03
5.840000000000e-06, 2.923717e-03
5.912000000000e-06, 2.183536e-03
5.984000000000e-06, 1.961481e-03
6.056000000000e-06, 3.108762e-03
6.128000000000e-06, 3.478853e-03
6.200000000000e-06, 2.220545e-03
6.272000000000e-06, 1.776436e-03
6.344000000000e-06, 2.405590e-03
6.416000000000e-06, 3.108762e-03
6.488000000000e-06, 2.738672e-03
6.560000000000e-06, 2.109517e-03
6.632000000000e-06, 2.109517e-03
6.704000000000e-06, 2.516617e-03
6.776000000000e-06, 2.960726e-03
6.848000000000e-06, 3.552871e-03
6.920000000000e-06, 2.479608e-03
6.992000000000e-06, 1.147281e-03
7.064000000000e-06, 2.368581e-03
7.136000000000e-06, 3.663899e-03
7.208000000000e-06, 3.219790e-03
7.280000000000e-06, 1.961481e-03
7.352000000000e-06, 2.072508e-03
7.424000000000e-06, 2.368581e-03
7.496000000000e-06, 2.997735e-03
7.568000000000e-06, 3.330817e-03
7.640000000000e-06, 1.739427e-03
7.712000000000e-06, 2.183536e-03
7.784000000000e-06, 3.663899e-03
7.856000000000e-06, 2.442599e-03
7.928000000000e-06, 2.020696e-02
8.000000000000e-06, 2.760877e-02
8.072000000000e-06, -9.552043e-02
8.144000000000e-06, -1.202055e-01
8.216000000000e-06, 2.112108e-01
8.288000000000e-06, 2.838596e-01
8.360000000000e-06, -2.210182e-01
8.432000000000e-06, -3.864488e-01
8.504000000000e-06, 1.001096e-01
8.576000000000e-06, 3.773816e-01
8.648000000000e-06, 7.742299e-02
8.720000000000e-06, -2.365250e-01
8.792000000000e-06, -1.812334e-01
8.864000000000e-06, 1.102870e-01
8.936000000000e-06, 1.990718e-01
9.008000000000e-06, -4.811180e-03
9.080000000000e-06, -1.412636e-01
9.152000000000e-06, -4.478098e-02
