% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 4.004 ms, time offset -213.6 us, Normal acquisition mode, 92 averages
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2023-09-28 T 10:23:15 -0400
% Time (s), Channel A (Input 1) (V)
-1.788912000000e-03, 3.146174e-03
-1.784976000000e-03, 3.385124e-03
-1.781040000000e-03, 3.358574e-03
-1.777104000000e-03, 3.385124e-03
-1.773168000000e-03, 3.517874e-03
-1.769232000000e-03, 3.371849e-03
-1.765296000000e-03, 3.544424e-03
-1.761360000000e-03, 3.597524e-03
-1.757424000000e-03, 3.570974e-03
-1.753488000000e-03, 3.504599e-03
-1.749552000000e-03, 3.730274e-03
-1.745616000000e-03, 3.544424e-03
-1.741680000000e-03, 3.504599e-03
-1.737744000000e-03, 3.557699e-03
-1.733808000000e-03, 3.371849e-03
-1.729872000000e-03, 3.650624e-03
-1.725936000000e-03, 3.597524e-03
-1.722000000000e-03, 3.438224e-03
-1.718064000000e-03, 3.358574e-03
-1.714128000000e-03, 3.278924e-03
-1.710192000000e-03, 3.239099e-03
-1.706256000000e-03, 3.385124e-03
-1.702320000000e-03, 3.478049e-03
-1.698384000000e-03, 3.146174e-03
-1.694448000000e-03, 3.491324e-03
-1.690512000000e-03, 3.385124e-03
-1.686576000000e-03, 3.597524e-03
-1.682640000000e-03, 3.305474e-03
-1.678704000000e-03, 3.278924e-03
-1.674768000000e-03, 3.119624e-03
-1.670832000000e-03, 3.119624e-03
-1.666896000000e-03, 3.305474e-03
-1.662960000000e-03, 3.132899e-03
-1.659024000000e-03, 3.013424e-03
-1.655088000000e-03, 3.172724e-03
-1.651152000000e-03, 3.013424e-03
-1.647216000000e-03, 3.000149e-03
-1.643280000000e-03, 3.013424e-03
-1.639344000000e-03, 3.026699e-03
-1.635408000000e-03, 2.986874e-03
-1.631472000000e-03, 3.106349e-03
-1.627536000000e-03, 2.734649e-03
-1.623600000000e-03, 2.920499e-03
-1.619664000000e-03, 2.854124e-03
-1.615728000000e-03, 2.840849e-03
-1.611792000000e-03, 2.920499e-03
-1.607856000000e-03, 2.668274e-03
-1.603920000000e-03, 2.960324e-03
-1.599984000000e-03, 3.000149e-03
-1.596048000000e-03, 2.947049e-03
-1.592112000000e-03, 2.907224e-03
-1.588176000000e-03, 2.840849e-03
-1.584240000000e-03, 2.840849e-03
-1.580304000000e-03, 2.920499e-03
-1.576368000000e-03, 2.893949e-03
-1.572432000000e-03, 2.721374e-03
-1.568496000000e-03, 2.827574e-03
-1.564560000000e-03, 2.814299e-03
-1.560624000000e-03, 2.933774e-03
-1.556688000000e-03, 2.588624e-03
-1.552752000000e-03, 2.747924e-03
-1.548816000000e-03, 2.654999e-03
-1.544880000000e-03, 2.708099e-03
-1.540944000000e-03, 2.734649e-03
-1.537008000000e-03, 2.681549e-03
-1.533072000000e-03, 2.761199e-03
-1.529136000000e-03, 2.880674e-03
-1.525200000000e-03, 2.907224e-03
-1.521264000000e-03, 2.827574e-03
-1.517328000000e-03, 2.654999e-03
-1.513392000000e-03, 2.867399e-03
-1.509456000000e-03, 2.708099e-03
-1.505520000000e-03, 3.013424e-03
-1.501584000000e-03, 2.734649e-03
-1.497648000000e-03, 2.641724e-03
-1.493712000000e-03, 2.734649e-03
-1.489776000000e-03, 2.787749e-03
-1.485840000000e-03, 2.562074e-03
-1.481904000000e-03, 2.694824e-03
-1.477968000000e-03, 2.801024e-03
-1.474032000000e-03, 2.747924e-03
-1.470096000000e-03, 2.893949e-03
-1.466160000000e-03, 2.854124e-03
-1.462224000000e-03, 2.774474e-03
-1.458288000000e-03, 2.654999e-03
-1.454352000000e-03, 2.522249e-03
-1.450416000000e-03, 2.734649e-03
-1.446480000000e-03, 2.827574e-03
-1.442544000000e-03, 2.628449e-03
-1.438608000000e-03, 2.761199e-03
-1.434672000000e-03, 2.654999e-03
-1.430736000000e-03, 2.854124e-03
-1.426800000000e-03, 2.721374e-03
-1.422864000000e-03, 2.641724e-03
-1.418928000000e-03, 2.615174e-03
-1.414992000000e-03, 2.668274e-03
-1.411056000000e-03, 2.947049e-03
-1.407120000000e-03, 2.575349e-03
-1.403184000000e-03, 2.601899e-03
-1.399248000000e-03, 2.747924e-03
-1.395312000000e-03, 2.588624e-03
-1.391376000000e-03, 2.854124e-03
-1.387440000000e-03, 2.774474e-03
-1.383504000000e-03, 2.708099e-03
-1.379568000000e-03, 2.721374e-03
-1.375632000000e-03, 2.787749e-03
-1.371696000000e-03, 2.694824e-03
-1.367760000000e-03, 2.694824e-03
-1.363824000000e-03, 2.628449e-03
-1.359888000000e-03, 2.734649e-03
-1.355952000000e-03, 2.681549e-03
-1.352016000000e-03, 2.787749e-03
-1.348080000000e-03, 2.801024e-03
-1.344144000000e-03, 2.840849e-03
-1.340208000000e-03, 2.947049e-03
-1.336272000000e-03, 2.761199e-03
-1.332336000000e-03, 2.694824e-03
-1.328400000000e-03, 2.694824e-03
-1.324464000000e-03, 2.708099e-03
-1.320528000000e-03, 2.734649e-03
-1.316592000000e-03, 2.734649e-03
-1.312656000000e-03, 2.787749e-03
-1.308720000000e-03, 2.814299e-03
-1.304784000000e-03, 2.641724e-03
-1.300848000000e-03, 2.880674e-03
-1.296912000000e-03, 2.747924e-03
-1.292976000000e-03, 2.721374e-03
-1.289040000000e-03, 2.654999e-03
-1.285104000000e-03, 2.774474e-03
-1.281168000000e-03, 2.840849e-03
-1.277232000000e-03, 2.734649e-03
-1.273296000000e-03, 2.787749e-03
-1.269360000000e-03, 2.668274e-03
-1.265424000000e-03, 2.694824e-03
-1.261488000000e-03, 2.654999e-03
-1.257552000000e-03, 2.681549e-03
-1.253616000000e-03, 2.734649e-03
-1.249680000000e-03, 2.774474e-03
-1.245744000000e-03, 2.615174e-03
-1.241808000000e-03, 2.867399e-03
-1.237872000000e-03, 2.708099e-03
-1.233936000000e-03, 2.681549e-03
-1.230000000000e-03, 2.747924e-03
-1.226064000000e-03, 2.827574e-03
-1.222128000000e-03, 2.893949e-03
-1.218192000000e-03, 2.893949e-03
-1.214256000000e-03, 2.787749e-03
-1.210320000000e-03, 2.801024e-03
-1.206384000000e-03, 2.933774e-03
-1.202448000000e-03, 2.734649e-03
-1.198512000000e-03, 2.801024e-03
-1.194576000000e-03, 2.747924e-03
-1.190640000000e-03, 2.774474e-03
-1.186704000000e-03, 2.814299e-03
-1.182768000000e-03, 2.694824e-03
-1.178832000000e-03, 3.079799e-03
-1.174896000000e-03, 2.814299e-03
-1.170960000000e-03, 2.787749e-03
-1.167024000000e-03, 2.641724e-03
-1.163088000000e-03, 2.827574e-03
-1.159152000000e-03, 2.933774e-03
-1.155216000000e-03, 2.933774e-03
-1.151280000000e-03, 2.814299e-03
-1.147344000000e-03, 3.013424e-03
-1.143408000000e-03, 2.721374e-03
-1.139472000000e-03, 3.013424e-03
-1.135536000000e-03, 2.986874e-03
-1.131600000000e-03, 3.026699e-03
-1.127664000000e-03, 2.920499e-03
-1.123728000000e-03, 2.827574e-03
-1.119792000000e-03, 3.026699e-03
-1.115856000000e-03, 2.694824e-03
-1.111920000000e-03, 2.907224e-03
-1.107984000000e-03, 2.854124e-03
-1.104048000000e-03, 2.893949e-03
-1.100112000000e-03, 2.774474e-03
-1.096176000000e-03, 3.000149e-03
-1.092240000000e-03, 2.801024e-03
-1.088304000000e-03, 2.827574e-03
-1.084368000000e-03, 2.880674e-03
-1.080432000000e-03, 2.854124e-03
-1.076496000000e-03, 3.000149e-03
-1.072560000000e-03, 3.079799e-03
-1.068624000000e-03, 3.278924e-03
-1.064688000000e-03, 2.986874e-03
-1.060752000000e-03, 3.039974e-03
-1.056816000000e-03, 3.212549e-03
-1.052880000000e-03, 3.026699e-03
-1.048944000000e-03, 2.973599e-03
-1.045008000000e-03, 3.039974e-03
-1.041072000000e-03, 2.986874e-03
-1.037136000000e-03, 2.840849e-03
-1.033200000000e-03, 2.960324e-03
-1.029264000000e-03, 3.013424e-03
-1.025328000000e-03, 3.159449e-03
-1.021392000000e-03, 3.039974e-03
-1.017456000000e-03, 3.013424e-03
-1.013520000000e-03, 3.039974e-03
-1.009584000000e-03, 3.066524e-03
-1.005648000000e-03, 3.066524e-03
-1.001712000000e-03, 3.093074e-03
-9.977760000000e-04, 3.093074e-03
-9.938400000000e-04, 3.093074e-03
-9.899040000000e-04, 2.907224e-03
-9.859680000000e-04, 2.973599e-03
-9.820320000000e-04, 2.933774e-03
-9.780960000000e-04, 3.013424e-03
-9.741600000000e-04, 3.079799e-03
-9.702240000000e-04, 3.079799e-03
-9.662880000000e-04, 2.986874e-03
-9.623520000000e-04, 3.026699e-03
-9.584160000000e-04, 2.893949e-03
-9.544800000000e-04, 3.185999e-03
-9.505440000000e-04, 2.933774e-03
-9.466080000000e-04, 3.172724e-03
-9.426720000000e-04, 3.159449e-03
-9.387360000000e-04, 3.053249e-03
-9.348000000000e-04, 3.053249e-03
-9.308640000000e-04, 1.517571e+00
-9.269280000000e-04, 4.311586e-01
-9.229920000000e-04, 2.681549e-03
-9.190560000000e-04, 2.615174e-03
-9.151200000000e-04, 2.323124e-03
-9.111840000000e-04, 2.429324e-03
