% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 36.83 us, time offset -12.50 us, Normal acquisition mode, 92 averages
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2023-09-28 T 10:54:43 -0400
% Time (s), Channel A (Input 1) (V)
-5.920000000000e-06, 1.997887e-02
-5.880000000000e-06, 2.004524e-02
-5.840000000000e-06, 1.997887e-02
-5.800000000000e-06, 2.011162e-02
-5.760000000000e-06, 1.944787e-02
-5.720000000000e-06, 2.011162e-02
-5.680000000000e-06, 1.984612e-02
-5.640000000000e-06, 2.044349e-02
-5.600000000000e-06, 2.024437e-02
-5.560000000000e-06, 2.037712e-02
-5.520000000000e-06, 1.977974e-02
-5.480000000000e-06, 1.958062e-02
-5.440000000000e-06, 2.044349e-02
-5.400000000000e-06, 1.971337e-02
-5.360000000000e-06, 2.031074e-02
-5.320000000000e-06, 1.977974e-02
-5.280000000000e-06, 1.977974e-02
-5.240000000000e-06, 1.997887e-02
-5.200000000000e-06, 2.070899e-02
-5.160000000000e-06, 1.991249e-02
-5.120000000000e-06, 2.031074e-02
-5.080000000000e-06, 1.977974e-02
-5.040000000000e-06, 2.050987e-02
-5.000000000000e-06, 1.997887e-02
-4.960000000000e-06, 2.011162e-02
-4.920000000000e-06, 1.964699e-02
-4.880000000000e-06, 2.011162e-02
-4.840000000000e-06, 2.017799e-02
-4.800000000000e-06, 1.997887e-02
-4.760000000000e-06, 1.984612e-02
-4.720000000000e-06, 1.944787e-02
-4.680000000000e-06, 1.984612e-02
-4.640000000000e-06, 1.951424e-02
-4.600000000000e-06, 2.031074e-02
-4.560000000000e-06, 1.997887e-02
-4.520000000000e-06, 2.017799e-02
-4.480000000000e-06, 1.964699e-02
-4.440000000000e-06, 2.017799e-02
-4.400000000000e-06, 2.017799e-02
-4.360000000000e-06, 1.997887e-02
-4.320000000000e-06, 1.984612e-02
-4.280000000000e-06, 2.004524e-02
-4.240000000000e-06, 2.017799e-02
-4.200000000000e-06, 2.011162e-02
-4.160000000000e-06, 1.991249e-02
-4.120000000000e-06, 2.037712e-02
-4.080000000000e-06, 1.971337e-02
-4.040000000000e-06, 1.977974e-02
-4.000000000000e-06, 1.977974e-02
-3.960000000000e-06, 1.991249e-02
-3.920000000000e-06, 2.017799e-02
-3.880000000000e-06, 1.958062e-02
-3.840000000000e-06, 1.964699e-02
-3.800000000000e-06, 2.057624e-02
-3.760000000000e-06, 2.004524e-02
-3.720000000000e-06, 1.997887e-02
-3.680000000000e-06, 2.077537e-02
-3.640000000000e-06, 2.024437e-02
-3.600000000000e-06, 2.024437e-02
-3.560000000000e-06, 2.024437e-02
-3.520000000000e-06, 1.991249e-02
-3.480000000000e-06, 2.044349e-02
-3.440000000000e-06, 1.944787e-02
-3.400000000000e-06, 2.011162e-02
-3.360000000000e-06, 2.024437e-02
-3.320000000000e-06, 2.004524e-02
-3.280000000000e-06, 1.984612e-02
-3.240000000000e-06, 2.011162e-02
-3.200000000000e-06, 2.044349e-02
-3.160000000000e-06, 2.017799e-02
-3.120000000000e-06, 2.044349e-02
-3.080000000000e-06, 2.064262e-02
-3.040000000000e-06, 2.011162e-02
-3.000000000000e-06, 2.004524e-02
-2.960000000000e-06, 2.011162e-02
-2.920000000000e-06, 2.017799e-02
-2.880000000000e-06, 2.031074e-02
-2.840000000000e-06, 2.017799e-02
-2.800000000000e-06, 1.984612e-02
-2.760000000000e-06, 2.024437e-02
-2.720000000000e-06, 2.004524e-02
-2.680000000000e-06, 1.944787e-02
-2.640000000000e-06, 2.017799e-02
-2.600000000000e-06, 1.984612e-02
-2.560000000000e-06, 2.017799e-02
-2.520000000000e-06, 2.011162e-02
-2.480000000000e-06, 2.037712e-02
-2.440000000000e-06, 1.991249e-02
-2.400000000000e-06, 1.984612e-02
-2.360000000000e-06, 1.984612e-02
-2.320000000000e-06, 2.017799e-02
-2.280000000000e-06, 2.050987e-02
-2.240000000000e-06, 2.031074e-02
-2.200000000000e-06, 1.964699e-02
-2.160000000000e-06, 1.931512e-02
-2.120000000000e-06, 1.971337e-02
-2.080000000000e-06, 2.037712e-02
-2.040000000000e-06, 1.991249e-02
-2.000000000000e-06, 2.064262e-02
-1.960000000000e-06, 1.938149e-02
-1.920000000000e-06, 1.944787e-02
-1.880000000000e-06, 1.984612e-02
-1.840000000000e-06, 2.004524e-02
-1.800000000000e-06, 1.984612e-02
-1.760000000000e-06, 2.024437e-02
-1.720000000000e-06, 1.971337e-02
-1.680000000000e-06, 2.011162e-02
-1.640000000000e-06, 2.031074e-02
-1.600000000000e-06, 2.031074e-02
-1.560000000000e-06, 2.031074e-02
-1.520000000000e-06, 2.011162e-02
-1.480000000000e-06, 1.977974e-02
-1.440000000000e-06, 2.057624e-02
-1.400000000000e-06, 2.050987e-02
-1.360000000000e-06, 2.037712e-02
-1.320000000000e-06, 1.991249e-02
-1.280000000000e-06, 2.004524e-02
-1.240000000000e-06, 1.991249e-02
-1.200000000000e-06, 2.044349e-02
-1.160000000000e-06, 2.004524e-02
-1.120000000000e-06, 1.951424e-02
-1.080000000000e-06, 2.050987e-02
-1.040000000000e-06, 1.944787e-02
-1.000000000000e-06, 1.964699e-02
-9.600000000000e-07, 1.977974e-02
-9.200000000000e-07, 2.011162e-02
-8.800000000000e-07, 2.037712e-02
-8.400000000000e-07, 2.050987e-02
-8.000000000000e-07, 2.044349e-02
-7.600000000000e-07, 1.991249e-02
-7.200000000000e-07, 1.984612e-02
-6.800000000000e-07, 2.011162e-02
-6.400000000000e-07, 1.977974e-02
-6.000000000000e-07, 1.991249e-02
-5.600000000000e-07, 1.977974e-02
-5.200000000000e-07, 2.084174e-02
-4.800000000000e-07, 1.971337e-02
-4.400000000000e-07, 1.951424e-02
-4.000000000000e-07, 1.904962e-02
-3.600000000000e-07, 1.898324e-02
-3.200000000000e-07, 1.831949e-02
-2.800000000000e-07, 1.931512e-02
-2.400000000000e-07, 1.944787e-02
-2.000000000000e-07, 1.911599e-02
-1.600000000000e-07, 1.958062e-02
-1.200000000000e-07, 1.984612e-02
-8.000000000000e-08, -7.111414e-01
-4.000000000000e-08, -2.548002e+00
0.000000000000e+00, 6.986961e+00
4.000000000000e-08, 4.821146e+00
8.000000000000e-08, 4.380549e+00
1.200000000000e-07, 4.654678e+00
1.600000000000e-07, 1.677495e+00
2.000000000000e-07, -1.395003e+00
2.400000000000e-07, -3.071834e+00
2.800000000000e-07, -3.911012e+00
3.200000000000e-07, -1.926401e+00
3.600000000000e-07, 5.152357e+00
4.000000000000e-07, 3.316027e+00
4.400000000000e-07, 3.458733e+00
4.800000000000e-07, 2.454347e+00
5.200000000000e-07, -6.622231e-01
5.600000000000e-07, -2.681084e+00
6.000000000000e-07, -2.501805e+00
6.400000000000e-07, -5.517751e-01
6.800000000000e-07, 2.064129e+00
7.200000000000e-07, 2.475189e+00
7.600000000000e-07, 1.160633e+00
8.000000000000e-07, 5.416198e-02
8.400000000000e-07, -8.596222e-01
8.800000000000e-07, -1.292918e+00
9.200000000000e-07, -7.019817e-01
9.600000000000e-07, -1.208024e-02
1.000000000000e-06, 5.359779e-01
1.040000000000e-06, 8.448870e-01
1.080000000000e-06, 5.686344e-01
1.120000000000e-06, 6.863172e-02
1.160000000000e-06, -2.756553e-01
1.200000000000e-06, -3.824526e-01
1.240000000000e-06, -2.206304e-01
1.280000000000e-06, 2.223562e-02
1.320000000000e-06, 1.569768e-01
1.360000000000e-06, 1.596982e-01
1.400000000000e-06, 9.962883e-02
1.440000000000e-06, 3.969223e-02
1.480000000000e-06, -8.031371e-03
1.520000000000e-06, -3.424948e-02
1.560000000000e-06, -3.989136e-02
1.600000000000e-06, -1.506712e-02
1.640000000000e-06, 2.017799e-02
1.680000000000e-06, 4.221448e-02
1.720000000000e-06, 4.135161e-02
1.760000000000e-06, 2.495699e-02
1.800000000000e-06, 1.055362e-02
1.840000000000e-06, 1.300949e-02
1.880000000000e-06, 2.349674e-02
1.920000000000e-06, 2.953686e-02
1.960000000000e-06, 2.601899e-02
2.000000000000e-06, 1.712474e-02
2.040000000000e-06, 1.135012e-02
2.080000000000e-06, 1.174837e-02
2.120000000000e-06, 1.659374e-02
2.160000000000e-06, 2.084174e-02
2.200000000000e-06, 2.349674e-02
2.240000000000e-06, 2.435961e-02
2.280000000000e-06, 2.356311e-02
2.320000000000e-06, 2.197012e-02
2.360000000000e-06, 1.858499e-02
2.400000000000e-06, 1.460249e-02
2.440000000000e-06, 1.539899e-02
2.480000000000e-06, 1.785487e-02
2.520000000000e-06, 2.090812e-02
2.560000000000e-06, 2.243474e-02
2.600000000000e-06, 2.130637e-02
2.640000000000e-06, 1.991249e-02
2.680000000000e-06, 1.831949e-02
2.720000000000e-06, 1.725749e-02
2.760000000000e-06, 1.845224e-02
2.800000000000e-06, 1.984612e-02
2.840000000000e-06, 2.004524e-02
2.880000000000e-06, 2.070899e-02
2.920000000000e-06, 1.997887e-02
2.960000000000e-06, 1.918237e-02
3.000000000000e-06, 1.845224e-02
3.040000000000e-06, 1.805399e-02
3.080000000000e-06, 1.858499e-02
3.120000000000e-06, 1.944787e-02
3.160000000000e-06, 2.064262e-02
3.200000000000e-06, 2.097449e-02
3.240000000000e-06, 2.050987e-02
3.280000000000e-06, 1.818674e-02
3.320000000000e-06, 1.851862e-02
3.360000000000e-06, 1.778849e-02
3.400000000000e-06, 1.845224e-02
3.440000000000e-06, 1.931512e-02
3.480000000000e-06, 2.011162e-02
3.520000000000e-06, 2.070899e-02
3.560000000000e-06, 2.150549e-02
3.600000000000e-06, 1.984612e-02
3.640000000000e-06, 1.931512e-02
3.680000000000e-06, 1.851862e-02
3.720000000000e-06, 1.792124e-02
3.760000000000e-06, 1.898324e-02
3.800000000000e-06, 1.971337e-02
3.840000000000e-06, 1.991249e-02
3.880000000000e-06, 2.037712e-02
3.920000000000e-06, 1.964699e-02
3.960000000000e-06, 1.865137e-02
4.000000000000e-06, 1.798762e-02
4.040000000000e-06, 1.785487e-02
4.080000000000e-06, 1.898324e-02
4.120000000000e-06, 1.964699e-02
4.160000000000e-06, 1.977974e-02
4.200000000000e-06, 1.924874e-02
4.240000000000e-06, 1.938149e-02
4.280000000000e-06, 1.818674e-02
4.320000000000e-06, 1.831949e-02
4.360000000000e-06, 1.851862e-02
4.400000000000e-06, 1.898324e-02
4.440000000000e-06, 2.004524e-02
4.480000000000e-06, 1.984612e-02
4.520000000000e-06, 1.991249e-02
4.560000000000e-06, 2.011162e-02
4.600000000000e-06, 1.951424e-02
4.640000000000e-06, 1.858499e-02
4.680000000000e-06, 1.851862e-02
4.720000000000e-06, 1.931512e-02
4.760000000000e-06, 1.924874e-02
4.800000000000e-06, 1.911599e-02
4.840000000000e-06, 1.931512e-02
4.880000000000e-06, 1.911599e-02
4.920000000000e-06, 1.818674e-02
4.960000000000e-06, 1.871774e-02
5.000000000000e-06, 1.924874e-02
5.040000000000e-06, 1.885049e-02
5.080000000000e-06, 1.871774e-02
5.120000000000e-06, 1.924874e-02
5.160000000000e-06, 1.931512e-02
5.200000000000e-06, 1.858499e-02
5.240000000000e-06, 1.851862e-02
5.280000000000e-06, 1.865137e-02
5.320000000000e-06, 1.898324e-02
5.360000000000e-06, 1.891687e-02
5.400000000000e-06, 1.858499e-02
5.440000000000e-06, 1.918237e-02
5.480000000000e-06, 1.865137e-02
5.520000000000e-06, 1.878412e-02
5.560000000000e-06, 1.911599e-02
5.600000000000e-06, 1.825312e-02
5.640000000000e-06, 1.851862e-02
5.680000000000e-06, 1.858499e-02
5.720000000000e-06, 1.831949e-02
5.760000000000e-06, 1.904962e-02
5.800000000000e-06, 1.838587e-02
5.840000000000e-06, 1.944787e-02
5.880000000000e-06, 1.931512e-02
5.920000000000e-06, 1.951424e-02
5.960000000000e-06, 1.818674e-02
6.000000000000e-06, 1.858499e-02
6.040000000000e-06, 1.898324e-02
6.080000000000e-06, 1.924874e-02
6.120000000000e-06, 1.871774e-02
6.160000000000e-06, 1.898324e-02
6.200000000000e-06, 1.938149e-02
6.240000000000e-06, 1.924874e-02
6.280000000000e-06, 1.911599e-02
6.320000000000e-06, 1.865137e-02
6.360000000000e-06, 1.918237e-02
6.400000000000e-06, 1.878412e-02
6.440000000000e-06, 1.918237e-02
6.480000000000e-06, 1.845224e-02
6.520000000000e-06, 1.938149e-02
6.560000000000e-06, 1.904962e-02
6.600000000000e-06, 1.898324e-02
6.640000000000e-06, 1.958062e-02
6.680000000000e-06, 1.878412e-02
6.720000000000e-06, 1.938149e-02
6.760000000000e-06, 1.918237e-02
6.800000000000e-06, 1.958062e-02
6.840000000000e-06, 1.938149e-02
6.880000000000e-06, 1.871774e-02
6.920000000000e-06, 1.931512e-02
6.960000000000e-06, 1.977974e-02
7.000000000000e-06, 1.851862e-02
7.040000000000e-06, 1.898324e-02
7.080000000000e-06, 1.931512e-02
7.120000000000e-06, 1.931512e-02
7.160000000000e-06, 1.911599e-02
7.200000000000e-06, 1.904962e-02
7.240000000000e-06, 1.944787e-02
7.280000000000e-06, 1.885049e-02
7.320000000000e-06, 1.971337e-02
7.360000000000e-06, 1.878412e-02
7.400000000000e-06, 1.898324e-02
7.440000000000e-06, 1.865137e-02
7.480000000000e-06, 1.891687e-02
7.520000000000e-06, 1.918237e-02
7.560000000000e-06, 1.951424e-02
7.600000000000e-06, 1.951424e-02
7.640000000000e-06, 1.931512e-02
7.680000000000e-06, 1.944787e-02
7.720000000000e-06, 1.891687e-02
7.760000000000e-06, 1.924874e-02
7.800000000000e-06, 1.904962e-02
7.840000000000e-06, 1.865137e-02
7.880000000000e-06, 1.898324e-02
7.920000000000e-06, 1.871774e-02
7.960000000000e-06, 1.851862e-02
8.000000000000e-06, 1.964699e-02
8.040000000000e-06, 1.971337e-02
8.080000000000e-06, 1.971337e-02
8.120000000000e-06, 1.958062e-02
8.160000000000e-06, 1.918237e-02
8.200000000000e-06, 1.891687e-02
8.240000000000e-06, 1.938149e-02
8.280000000000e-06, 1.938149e-02
8.320000000000e-06, 1.924874e-02
8.360000000000e-06, 1.938149e-02
8.400000000000e-06, 1.924874e-02
8.440000000000e-06, 1.931512e-02
8.480000000000e-06, 1.971337e-02
8.520000000000e-06, 1.977974e-02
8.560000000000e-06, 1.885049e-02
8.600000000000e-06, 1.911599e-02
8.640000000000e-06, 1.904962e-02
8.680000000000e-06, 1.818674e-02
8.720000000000e-06, 1.951424e-02
8.760000000000e-06, 1.911599e-02
8.800000000000e-06, 1.891687e-02
8.840000000000e-06, 1.845224e-02
8.880000000000e-06, 1.997887e-02
8.920000000000e-06, 1.885049e-02
8.960000000000e-06, 1.951424e-02
9.000000000000e-06, 1.944787e-02
9.040000000000e-06, 1.904962e-02
9.080000000000e-06, 1.871774e-02
9.120000000000e-06, 1.858499e-02
9.160000000000e-06, 1.865137e-02
9.200000000000e-06, 1.885049e-02
9.240000000000e-06, 1.904962e-02
9.280000000000e-06, 1.918237e-02
9.320000000000e-06, 1.944787e-02
9.360000000000e-06, 1.898324e-02
9.400000000000e-06, 1.911599e-02
9.440000000000e-06, 1.898324e-02
9.480000000000e-06, 1.851862e-02
9.520000000000e-06, 1.792124e-02
9.560000000000e-06, 1.911599e-02
9.600000000000e-06, 1.924874e-02
9.640000000000e-06, 1.858499e-02
9.680000000000e-06, 1.891687e-02
9.720000000000e-06, 1.958062e-02
9.760000000000e-06, 1.951424e-02
9.800000000000e-06, 1.971337e-02
9.840000000000e-06, 1.898324e-02
9.880000000000e-06, 1.891687e-02
9.920000000000e-06, 1.891687e-02
9.960000000000e-06, 1.944787e-02
1.000000000000e-05, 1.938149e-02
1.004000000000e-05, 1.851862e-02
1.008000000000e-05, 1.904962e-02
1.012000000000e-05, 1.871774e-02
1.016000000000e-05, 1.911599e-02
1.020000000000e-05, 1.891687e-02
1.024000000000e-05, 1.951424e-02
1.028000000000e-05, 1.924874e-02
1.032000000000e-05, 1.871774e-02
1.036000000000e-05, 1.845224e-02
1.040000000000e-05, 1.964699e-02
1.044000000000e-05, 1.931512e-02
1.048000000000e-05, 1.865137e-02
1.052000000000e-05, 1.871774e-02
1.056000000000e-05, 1.904962e-02
1.060000000000e-05, 1.951424e-02
1.064000000000e-05, 1.838587e-02
1.068000000000e-05, 1.845224e-02
1.072000000000e-05, 1.931512e-02
1.076000000000e-05, 1.904962e-02
1.080000000000e-05, 1.918237e-02
1.084000000000e-05, 1.944787e-02
1.088000000000e-05, 1.931512e-02
1.092000000000e-05, 1.871774e-02
1.096000000000e-05, 1.931512e-02
1.100000000000e-05, 1.885049e-02
1.104000000000e-05, 1.898324e-02
1.108000000000e-05, 1.944787e-02
1.112000000000e-05, 1.931512e-02
1.116000000000e-05, 1.898324e-02
1.120000000000e-05, 1.891687e-02
1.124000000000e-05, 1.798762e-02
1.128000000000e-05, 1.891687e-02
1.132000000000e-05, 1.984612e-02
1.136000000000e-05, 1.931512e-02
1.140000000000e-05, 1.838587e-02
1.144000000000e-05, 1.845224e-02
1.148000000000e-05, 1.878412e-02
1.152000000000e-05, 1.944787e-02
1.156000000000e-05, 1.904962e-02
1.160000000000e-05, 1.885049e-02
1.164000000000e-05, 1.997887e-02
1.168000000000e-05, 1.904962e-02
1.172000000000e-05, 1.904962e-02
1.176000000000e-05, 1.825312e-02
1.180000000000e-05, 1.851862e-02
1.184000000000e-05, 1.845224e-02
1.188000000000e-05, 1.904962e-02
1.192000000000e-05, 1.878412e-02
1.196000000000e-05, 1.865137e-02
1.200000000000e-05, 1.898324e-02
1.204000000000e-05, 1.885049e-02
1.208000000000e-05, 1.898324e-02
1.212000000000e-05, 1.871774e-02
1.216000000000e-05, 1.938149e-02
1.220000000000e-05, 1.911599e-02
1.224000000000e-05, 1.851862e-02
1.228000000000e-05, 1.911599e-02
